건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2004,2011,옥주오피스텔,봉천동,"3,000",관악구,1,35,18,22.23,877-16,11620,6
2003,2011,연경오피스텔,봉천동,"5,300",관악구,1,0,19,13.8,881-1,11620,4
2003,2011,하우피스오피스텔,봉천동,"3,000",관악구,1,30,19,25.2,725-4,11620,6
2001,2011,동남오피스텔,봉천동,"2,500",관악구,1,25,19,15.27,1659-10,11620,6
2003,2011,(1663-10),봉천동,"8,000",관악구,1,0,19,15.9,1663-10,11620,4
2003,2011,(896-29),봉천동,"3,000",관악구,1,15,19,16.19,896-29,11620,3
2004,2011,청룡2오피스텔,봉천동,"3,000",관악구,1,10,20,11.4,881-30,11620,4
2004,2011,청룡2오피스텔,봉천동,"9,500",관악구,1,0,21,27.36,881-30,11620,3
2003,2011,(867-4),봉천동,"1,000",관악구,1,50,22,19.2,867-4,11620,5
2001,2011,대학캠퍼스텔,봉천동,"5,000",관악구,1,10,22,18.09,1566-16,11620,5
2002,2011,(701-20),봉천동,"5,500",관악구,1,0,22,23.52,701-20,11620,5
2004,2011,황호오피스텔,봉천동,"4,000",관악구,1,10,22,14.85,43-3,11620,4
2001,2011,대학캠퍼스텔,봉천동,"4,000",관악구,1,10,22,18.09,1566-16,11620,3
2004,2011,(874-19),봉천동,"11,000",관악구,1,0,22,31.68,874-19,11620,8
2004,2011,청룡2오피스텔,봉천동,"9,500",관악구,1,0,23,27.36,881-30,11620,3
2002,2011,다래오피스텔,봉천동,"1,000",관악구,1,35,23,16.2,877-10,11620,6
2002,2011,(1687-11),봉천동,"4,800",관악구,1,0,23,13.33,1687-11,11620,5
2002,2011,(1654-9),봉천동,"5,000",관악구,1,0,24,15.34,1654-9,11620,5
2003,2011,(881-3),봉천동,"1,000",관악구,1,35,24,14.4,881-3,11620,6
2002,2011,(701-20),봉천동,"5,500",관악구,1,0,25,23.52,701-20,11620,2
2002,2011,(1687-11),봉천동,"4,800",관악구,1,0,25,13.33,1687-11,11620,2
2001,2011,대학캠퍼스텔,봉천동,"6,000",관악구,1,5,25,18.09,1566-16,11620,5
2004,2011,(874-19),봉천동,"6,500",관악구,1,0,26,15.84,874-19,11620,8
2002,2011,봉대오피스텔,봉천동,"1,000",관악구,1,35,26,16.83,881-31,11620,5
2005,2011,금탑오피스텔,봉천동,"3,000",관악구,1,20,26,13.15,878-7,11620,6
2002,2011,(1654-9),봉천동,"5,200",관악구,1,0,27,15.34,1654-9,11620,3
2003,2011,샤인텔,봉천동,"3,000",관악구,1,25,27,20.65,892-23,11620,4
2003,2011,연경오피스텔,봉천동,"5,000",관악구,1,0,28,14.18,881-1,11620,4
2010,2011,케이타워 오피스텔,봉천동,"3,000",관악구,1,40,28,18.24,882-4,11620,3
2002,2011,반석오피스텔,봉천동,"4,500",관악구,1,20,28,21.13,948-7,11620,5
2001,2011,(1654-1),봉천동,"6,000",관악구,1,0,28,17.36,1654-1,11620,1
2005,2011,CO-OP RESIDENCE/서울대입구,봉천동,"4,000",관악구,1,45,28,26.67,861-7,11620,12
2007,2011,생모리츠타운,봉천동,"2,000",관악구,1,40,28,22.24,1574-1,11620,6
2004,2011,(874-19),봉천동,"6,500",관악구,1,0,29,15.75,874-19,11620,4
2004,2011,(874-19),봉천동,"6,500",관악구,1,0,29,15.75,874-19,11620,4
2003,2011,봉천오피스텔,봉천동,"4,500",관악구,1,0,29,17.63,1686-19,11620,3
2001,2011,대학캠퍼스텔,봉천동,"5,000",관악구,1,10,29,18.09,1566-16,11620,8
2004,2011,예림오피스텔,봉천동,"5,000",관악구,1,20,29,18.81,883-3,11620,5
2004,2011,예림오피스텔,봉천동,"3,000",관악구,1,33,29,18.81,883-3,11620,6
2010,2011,케이타워 오피스텔,봉천동,"7,000",관악구,1,0,29,18.24,882-4,11620,3
2003,2011,봉천오피스텔,봉천동,"4,500",관악구,1,0,30,16.2,1686-19,11620,3
2003,2011,연경오피스텔,봉천동,"5,200",관악구,1,0,30,14.17,881-1,11620,2
2003,2011,동아타운21,봉천동,"8,500",관악구,1,0,31,37.8,7-312,11620,4
2003,2011,미래오피스텔,봉천동,"5,000",관악구,1,20,31,19.8,874-22,11620,10
2002,2011,다래오피스텔,봉천동,500,관악구,1,45,31,17.28,877-10,11620,6
2004,2011,(881-8),봉천동,"2,500",관악구,1,30,31,17.09,881-8,11620,7
2010,2011,케이타워 오피스텔,봉천동,"3,000",관악구,1,40,31,18.24,882-4,11620,6
2010,2011,케이타워 오피스텔,봉천동,"8,000",관악구,1,0,31,18.24,882-4,11620,2
2003,2011,샤인텔,봉천동,"8,000",관악구,1,0,31,30.45,892-23,11620,6
2003,2011,오크밸리,봉천동,"6,000",관악구,1,0,31,18.54,960-12,11620,6
1998,2011,제일캠퍼스텔,봉천동,200,관악구,1,32,31,15.28,1566-10,11620,2
2005,2011,한울오피스텔,신림동,"1,000",관악구,1,35,1,14.04,1474-5,11620,4
2001,2011,(1417-29),신림동,"4,900",관악구,1,0,2,19.11,1417-29,11620,4
2003,2011,솔라오피스텔,신림동,500,관악구,1,40,3,24.42,569-47,11620,4
2001,2011,(1420-3),신림동,"4,000",관악구,1,0,3,15.81,1420-3,11620,6
2004,2011,에스케이허브그린,신림동,"12,000",관악구,1,0,4,42.8,1421-29,11620,13
2003,2011,(1419-21),신림동,300,관악구,1,50,4,19.5,1419-21,11620,4
2004,2011,에스케이허브그린,신림동,"10,000",관악구,1,0,10,26.62,1421-29,11620,9
2002,2011,길상 오피스텔,신림동,"1,000",관악구,1,40,11,19,534-2,11620,4
2002,2011,금탑오피스텔,신림동,500,관악구,1,40,13,14.4,1436-23,11620,2
2004,2011,에스케이허브그린,신림동,"10,000",관악구,1,0,14,26.62,1421-29,11620,13
2001,2011,(1420-3),신림동,"7,500",관악구,1,0,16,30.29,1420-3,11620,2
2004,2011,엘리젠트오피스텔,신림동,"6,500",관악구,1,0,17,24,94-208,11620,7
2003,2011,(1462-12),신림동,"1,500",관악구,1,50,18,21.84,1462-12,11620,3
2003,2011,e-샤르망,신림동,"6,000",관악구,1,0,20,24.51,1464-5,11620,4
2004,2011,클래르오피스텔,신림동,"1,000",관악구,1,60,20,24.52,1446-18,11620,6
2002,2011,(1419-27),신림동,500,관악구,1,36,22,17.16,1419-27,11620,4
2004,2011,영지오피스텔,신림동,"4,000",관악구,1,20,24,22.31,1432-1,11620,4
2004,2011,(530-9),신림동,"2,000",관악구,1,30,24,20.88,530-9,11620,5
2002,2011,(1420-24),신림동,"3,000",관악구,1,34,26,22.78,1420-24,11620,5
2002,2011,(1459-25),신림동,"2,000",관악구,1,40,30,21.87,1459-25,11620,7
2002,2011,장호 오피스텔,신림동,"7,000",관악구,1,0,30,30.92,1459-22,11620,2
2002,2011,(1461-17),신림동,"5,000",관악구,1,0,31,19.2,1461-17,11620,6
2001,2011,(602-35),남현동,"6,000",관악구,1,20,4,20.79,602-35,11620,1
2005,2011,(1061-18),남현동,"1,000",관악구,1,70,6,28.05,1061-18,11620,8
2003,2011,뉴타운오피스텔,남현동,"6,500",관악구,1,0,8,15.7,602-36,11620,3
2003,2011,화인오피스텔,남현동,500,관악구,1,55,8,15.9,602-18,11620,5
1998,2011,사당아트오피스텔,남현동,"6,800",관악구,1,0,8,18.91,602-47,11620,6
2010,2011,콤팩트하우스,남현동,"8,000",관악구,1,0,9,15.59,602-19,11620,8
2003,2011,뉴타운오피스텔,남현동,"2,000",관악구,1,50,11,15.3,602-36,11620,6
2002,2011,프론티아 오피스텔,남현동,"1,000",관악구,1,50,11,20.3,1059-6,11620,4
2003,2011,화인오피스텔,남현동,"1,000",관악구,1,50,13,15.9,602-18,11620,4
2002,2011,개명빌딩,남현동,"1,000",관악구,1,55,14,25.61,602-124,11620,4
2005,2011,(1061-18),남현동,"12,000",관악구,1,0,14,25.05,1061-18,11620,12
2002,2011,프론티아 오피스텔,남현동,"1,500",관악구,1,40,14,16.1,1059-6,11620,2
2002,2011,(602-27),남현동,"7,000",관악구,1,0,17,20.11,602-27,11620,1
2005,2011,(1061-18),남현동,"1,000",관악구,1,75,17,26.18,1061-18,11620,8
2010,2011,콤팩트하우스,남현동,"8,000",관악구,1,0,18,14.6,602-19,11620,8
2010,2011,콤팩트하우스,남현동,"2,000",관악구,1,45,23,15.59,602-19,11620,8
2002,2011,프론티아 오피스텔,남현동,"2,000",관악구,1,40,25,20.3,1059-6,11620,7
2005,2011,(1061-18),남현동,"2,000",관악구,1,60,26,27.15,1061-18,11620,12
2000,2011,관악산오피스텔,남현동,"8,000",관악구,1,0,29,21.83,602-58,11620,4
2001,2011,(602-35),남현동,"6,000",관악구,1,20,29,20.79,602-35,11620,5
2002,2011,프론티아 오피스텔,남현동,"2,000",관악구,1,33,31,16.1,1059-6,11620,1
2003,2011,오크밸리,봉천동,"6,000",관악구,2,0,1,18.12,960-12,11620,5
2003,2011,미래오피스텔,봉천동,"6,000",관악구,2,30,1,30.98,874-22,11620,3
2004,2011,옥주오피스텔,봉천동,"1,000",관악구,2,55,1,24.8,877-16,11620,4
2003,2011,인헌오피스텔,봉천동,"3,000",관악구,2,20,6,17.51,300-10,11620,6
2003,2011,연경오피스텔,봉천동,"5,200",관악구,2,0,6,15.75,881-1,11620,2
2003,2011,미래오피스텔,봉천동,"5,000",관악구,2,20,7,19.8,874-22,11620,7
2005,2011,참오피스텔,봉천동,500,관악구,2,42,7,15.12,1680-24,11620,3
2001,2011,동남오피스텔,봉천동,"2,500",관악구,2,25,7,15.72,1659-10,11620,2
2004,2011,이즈빌,봉천동,"4,500",관악구,2,10,7,17.16,1595-3,11620,3
2010,2011,케이타워 오피스텔,봉천동,"7,000",관악구,2,0,7,18.24,882-4,11620,2
2003,2011,(1663-10),봉천동,"8,500",관악구,2,0,8,15.9,1663-10,11620,5
2010,2011,케이타워 오피스텔,봉천동,"6,000",관악구,2,20,8,18.24,882-4,11620,2
2000,2011,봉천동오피스텔,봉천동,"6,200",관악구,2,0,8,19.38,876-9,11620,3
2000,2011,봉천동오피스텔,봉천동,"6,200",관악구,2,0,8,19.38,876-9,11620,5
2003,2011,(1663-10),봉천동,"8,000",관악구,2,0,8,15.9,1663-10,11620,6
2004,2011,청룡2오피스텔,봉천동,"9,500",관악구,2,0,9,26.88,881-30,11620,3
2010,2011,케이타워 오피스텔,봉천동,"4,000",관악구,2,35,9,18.24,882-4,11620,2
2003,2011,봉천오피스텔,봉천동,"4,500",관악구,2,0,9,18.45,1686-19,11620,6
2003,2011,봉천동 오피스텔(892-16),봉천동,"1,000",관악구,2,30,9,15.68,892-16,11620,3
2001,2011,보성오피스텔,봉천동,"4,000",관악구,2,20,10,21.3,41-306,11620,5
2000,2011,봉천동오피스텔,봉천동,"6,200",관악구,2,0,10,21.09,876-9,11620,7
2004,2011,(874-19),봉천동,"6,500",관악구,2,0,10,15.75,874-19,11620,4
2002,2011,(1654-9),봉천동,"5,000",관악구,2,0,10,15.34,1654-9,11620,3
2003,2011,이아오피스텔,봉천동,"5,500",관악구,2,0,10,16.5,881-2,11620,3
2003,2011,연경오피스텔,봉천동,"6,500",관악구,2,0,10,19.27,881-1,11620,1
2003,2011,연경오피스텔,봉천동,"5,000",관악구,2,0,10,14.18,881-1,11620,5
2010,2011,케이타워 오피스텔,봉천동,"8,000",관악구,2,0,10,18.24,882-4,11620,2
2000,2011,봉천동오피스텔,봉천동,"6,100",관악구,2,0,11,19.38,876-9,11620,6
2004,2011,(874-19),봉천동,"6,500",관악구,2,0,12,15.75,874-19,11620,5
2007,2011,한울오피스텔,봉천동,"7,000",관악구,2,0,12,18.54,867-10,11620,8
2003,2011,(867-7),봉천동,"3,000",관악구,2,30,12,18.6,867-7,11620,4
2003,2011,한빛오피스텔,봉천동,"6,500",관악구,2,0,12,21.62,40-24,11620,2
2003,2011,(1663-10),봉천동,"8,500",관악구,2,0,12,15.9,1663-10,11620,6
2003,2011,우리오피스텔,봉천동,"4,000",관악구,2,17,12,20.16,1612-20,11620,3
2003,2011,(881-3),봉천동,"1,000",관악구,2,35,12,14.4,881-3,11620,3
2004,2011,황호오피스텔,봉천동,"3,000",관악구,2,40,13,23.85,43-3,11620,5
2010,2011,케이타워 오피스텔,봉천동,"2,000",관악구,2,50,13,18.24,882-4,11620,8
2003,2011,연경오피스텔,봉천동,"5,500",관악구,2,0,13,14.18,881-1,11620,5
2002,2011,(1654-9),봉천동,"5,500",관악구,2,0,13,15.34,1654-9,11620,5
2002,2011,장원오피스텔,봉천동,"2,000",관악구,2,35,13,17.67,876-27,11620,4
2003,2011,드림 오피스텔,봉천동,500,관악구,2,50,14,19.47,62-20,11620,2
2004,2011,청룡2오피스텔,봉천동,"9,500",관악구,2,0,14,26.88,881-30,11620,7
