건축년도,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,지번,지역코드,층
2004,2011,(122-6),응암동,"4,000",은평구,2,0,5,22.24,122-6,11380,4
2010,2011,청수Ⅱ빌딩,응암동,"6,000",은평구,2,0,5,17.5,21-3,11380,7
2003,2011,건우캐스텔,응암동,"6,000",은평구,2,0,6,27.54,88-29,11380,3
2002,2011,네오라이프,응암동,"3,000",은평구,2,30,7,31.16,113-23,11380,6
2010,2011,청수Ⅱ빌딩,응암동,"6,000",은평구,2,0,8,15.75,21-3,11380,4
2003,2011,래디앙,응암동,"5,500",은평구,2,0,9,18.26,109-12,11380,6
2003,2011,응암하이빌,응암동,"4,500",은평구,2,0,10,22.2,427-42,11380,6
2010,2011,청수Ⅱ빌딩,응암동,"6,000",은평구,2,0,12,15.75,21-3,11380,7
2003,2011,(678-3),응암동,"4,000",은평구,2,0,14,16.82,678-3,11380,2
2003,2011,응암하이빌,응암동,"6,500",은평구,2,0,18,28.8,427-42,11380,5
2004,2011,CJ드림시티(91-8),응암동,"1,000",은평구,2,50,18,23.04,91-8,11380,14
2004,2011,CJ드림시티(91-8),응암동,"1,000",은평구,2,50,20,23.04,91-8,11380,10
2002,2011,미성드림투유,응암동,500,은평구,2,40,21,17.05,116-15,11380,7
2001,2011,한성하이빌,응암동,"7,000",은평구,2,0,21,42.12,110-50,11380,6
2004,2011,연일오피스텔,응암동,"4,500",은평구,2,0,22,19.35,115-31,11380,3
2004,2011,CJ드림시티(91-7),응암동,"3,500",은평구,2,30,23,24.84,91-7,11380,10
2004,2011,첼라 오피스텔(117-39),응암동,"5,500",은평구,2,0,26,25.2,117-39,11380,7
2004,2011,대신오피스텔,응암동,"1,000",은평구,2,40,26,28.18,366-4,11380,5
2010,2011,(36-30),역촌동,"2,500",은평구,2,30,7,19.62,36-30,11380,8
2002,2011,(83-25),역촌동,"9,000",은평구,2,0,15,33.97,83-25,11380,6
2004,2011,대상오피스텔,역촌동,"6,000",은평구,2,0,17,20.09,8-15,11380,6
2002,2011,(83-25),역촌동,"8,500",은평구,2,0,25,33.97,83-25,11380,2
2002,2011,신사동 23-48,신사동,"6,000",은평구,2,0,11,28,23-48,11380,4
2003,2011,정원 TOP 오피스텔,신사동,"3,000",은평구,2,30,16,19.08,21-12,11380,3
2003,2011,정원 TOP 오피스텔,신사동,"2,000",은평구,2,45,21,21.6,21-12,11380,8
2003,2011,정원 TOP 오피스텔,신사동,350,은평구,2,20,25,17.17,21-12,11380,3
2002,2011,신사동 23-48,신사동,"5,600",은평구,2,2,25,26.04,23-48,11380,3
2002,2011,(23-47),신사동,"3,000",은평구,2,30,28,29.7,23-47,11380,2
2002,2011,(23-47),신사동,"6,000",은평구,2,0,28,29.7,23-47,11380,2
2003,2011,녹번동메카오피스텔,녹번동,"1,000",은평구,3,50,14,20.51,35-21,11380,9
2003,2011,녹번동메카오피스텔,녹번동,"1,000",은평구,3,50,26,20.51,35-21,11380,5
2002,2011,백운오피스텔,불광동,"5,000",은평구,3,0,9,22.5,272-22,11380,5
2003,2011,씨케이 리츠빌,갈현동,"5,000",은평구,3,0,22,20.7,456-14,11380,3
2003,2011,써니하우스,갈현동,"1,500",은평구,3,40,26,36.96,456-20,11380,6
2008,2011,상지하우스,대조동,"13,000",은평구,3,0,2,68.9,197-8,11380,4
2002,2011,도원빌딩,대조동,"7,000",은평구,3,0,26,34.23,197-20,11380,4
2002,2011,스위트오피스텔,대조동,"2,000",은평구,3,30,26,41.48,28-1,11380,3
2002,2011,도원빌딩,대조동,"6,300",은평구,3,0,28,32,197-20,11380,5
2004,2011,첼라오피스텔,응암동,"1,000",은평구,3,40,2,28.44,601-9,11380,2
2004,2011,첼라오피스텔,응암동,"2,500",은평구,3,25,3,28.44,601-9,11380,5
2004,2011,CJ드림시티(91-8),응암동,"6,500",은평구,3,0,3,21.68,91-8,11380,12
2004,2011,CJ드림시티(91-7),응암동,"1,000",은평구,3,55,5,24.84,91-7,11380,15
2003,2011,하나테크빌,응암동,"7,500",은평구,3,0,7,28.39,111-13,11380,14
2004,2011,CJ드림시티(91-8),응암동,"1,000",은평구,3,70,9,41.14,91-8,11380,11
2005,2011,(118-49),응암동,"3,000",은평구,3,25,9,24.12,118-49,11380,3
2004,2011,CJ드림시티(91-8),응암동,"8,500",은평구,3,0,10,39.8,91-8,11380,5
2004,2011,(122-6),응암동,500,은평구,3,43,11,17.81,122-6,11380,4
2002,2011,미성드림투유,응암동,"6,000",은평구,3,0,11,17.05,116-15,11380,2
2004,2011,연일오피스텔,응암동,"6,000",은평구,3,0,11,26.46,115-31,11380,2
2004,2011,CJ드림시티(91-7),응암동,"1,000",은평구,3,55,12,24.84,91-7,11380,10
2002,2011,(20-2),응암동,"1,000",은평구,3,52,12,36.99,20-2,11380,2
2002,2011,(20-2),응암동,"8,000",은평구,3,0,16,39.81,20-2,11380,5
2004,2011,연일오피스텔,응암동,"1,000",은평구,3,40,18,23.23,115-31,11380,4
2004,2011,(122-6),응암동,"4,700",은평구,3,0,18,17.81,122-6,11380,3
2002,2011,미성드림투유,응암동,"3,000",은평구,3,30,19,21.6,116-15,11380,1
2003,2011,(120-14),응암동,"2,000",은평구,3,30,19,22.98,120-14,11380,4
2003,2011,(118-36),응암동,"4,500",은평구,3,0,24,21.06,118-36,11380,4
2003,2011,포스하이텔,응암동,"5,500",은평구,3,0,25,26.4,84-37,11380,3
2004,2011,첼라 오피스텔(117-39),응암동,"5,500",은평구,3,0,29,26.4,117-39,11380,2
2002,2011,(83-25),역촌동,"8,000",은평구,3,0,1,33.97,83-25,11380,4
2002,2011,(83-25),역촌동,"7,500",은평구,3,0,3,33.97,83-25,11380,3
2004,2011,대상오피스텔,역촌동,"6,000",은평구,3,0,25,24.32,8-15,11380,2
2003,2011,정원 TOP 오피스텔,신사동,"3,000",은평구,3,40,2,25.55,21-12,11380,4
2002,2011,신사동 샬렛스위스,신사동,"5,000",은평구,3,0,21,36,241-27,11380,1
