,gu,date,평당보증금,평당월세
0,강남구,2011-01,304.9260869565216,0.16521739130434782
1,강남구,2011-02,341.1814814814814,0.22037037037037036
2,강남구,2011-03,317.112,0.23700000000000002
3,강남구,2011-04,249.03125000000006,0.3484375
4,강남구,2011-05,282.94210526315794,0.3013157894736842
5,강남구,2011-06,310.5894736842106,0.20657894736842106
6,강남구,2011-07,267.7695652173913,0.23369565217391305
7,강남구,2011-08,236.24999999999994,0.3375
8,강남구,2011-09,327.52272727272725,0.13068181818181818
9,강남구,2011-10,272.53333333333325,0.21944444444444444
10,강남구,2011-11,245.62499999999994,0.3325
11,강남구,2011-12,229.59642857142848,0.24553571428571427
12,강남구,2012-01,202.59117647058815,0.37132352941176483
13,강남구,2012-02,234.48620689655166,0.24482758620689654
14,강남구,2012-03,274.0964285714285,0.2660714285714286
15,강남구,2012-04,229.23157894736835,0.2671052631578947
16,강남구,2012-05,254.15625000000017,0.23750000000000002
17,강남구,2012-06,298.4857142857143,0.22380952380952382
18,강남구,2012-07,287.6157894736842,0.2026315789473684
19,강남구,2012-08,281.4037037037036,0.22129629629629632
20,강남구,2012-09,330.485185185185,0.17037037037037037
21,강남구,2012-10,303.09473684210525,0.2302631578947369
22,강남구,2012-11,306.9249999999998,0.2517045454545454
23,강남구,2012-12,236.47317073170746,0.39634146341463417
24,강남구,2013-01,246.15365853658548,0.29451219512195126
25,강남구,2013-02,267.7717948717949,0.31474358974358974
26,강남구,2013-03,326.3128205128207,0.20576923076923073
27,강남구,2013-04,252.97586206896528,0.2620689655172414
28,강남구,2013-05,319.6857142857142,0.15000000000000002
29,강남구,2013-06,261.90344827586205,0.2767241379310345
30,강남구,2013-07,283.75000000000006,0.2541666666666667
31,강남구,2013-08,360.51851851851865,0.17407407407407405
32,강남구,2013-09,177.22499999999997,0.3350000000000001
33,강남구,2013-10,273.77352941176474,0.25514705882352945
34,강남구,2013-11,304.16603773584916,0.2900943396226415
35,강남구,2013-12,353.9225806451615,0.25241935483870964
36,강남구,2014-01,405.5212765957446,0.3148936170212766
37,강남구,2014-02,326.44000000000017,0.3423333333333333
38,강남구,2014-03,338.67600000000033,0.309
39,강남구,2014-04,261.0046511627907,0.2915697674418605
40,강남구,2014-05,233.16465517241403,0.3144396551724138
41,강남구,2014-06,274.79635036496336,0.5875912408759126
42,강남구,2014-07,261.85547703180276,0.6351590106007071
43,강남구,2014-08,232.86474820143917,0.7327338129496404
44,강남구,2014-09,219.1995951417009,0.7447368421052635
45,강남구,2014-10,247.90666666666706,0.7327777777777786
46,강남구,2014-11,256.43201754386,0.7877192982456136
47,강남구,2014-12,251.8231578947367,0.8028947368421054
48,강남구,2015-01,291.8252427184462,0.7286407766990288
49,강남구,2015-02,304.05655737704905,0.8
50,강남구,2015-03,414.3442028985509,0.6286231884057969
51,강남구,2015-04,339.0541401273891,0.8267515923566876
52,강남구,2015-05,309.0618421052632,0.9444078947368418
53,강남구,2015-06,290.97313432835824,0.9126865671641793
54,강남구,2015-07,276.37727272727295,0.8015151515151513
55,강남구,2015-08,312.6272727272731,0.7734848484848486
56,강남구,2015-09,294.34503816793926,0.7599236641221371
57,강남구,2015-10,292.1932885906042,0.7372483221476508
58,강남구,2015-11,328.28245614035126,0.8197368421052634
59,강남구,2015-12,289.7779411764709,0.9529411764705884
60,강남구,2016-01,334.20460526315765,0.8203947368421051
61,강남구,2016-02,357.20650406504086,0.8239837398373988
62,강남구,2016-03,402.5029239766081,0.7049707602339181
63,강남구,2016-04,383.6725609756099,0.7475609756097564
64,강남구,2016-05,343.1859375,0.779296875
65,강남구,2016-06,439.5165354330715,0.5618110236220473
66,강남구,2016-07,431.322085889571,0.5714723926380368
67,강남구,2016-08,336.59019607843146,0.8140522875816993
68,강남구,2016-09,384.2203252032519,0.6747967479674798
69,강남구,2016-10,375.50114942528745,0.6123563218390805
70,강남구,2016-11,388.58125000000024,0.6607638888888892
71,강남구,2016-12,316.97604166666736,0.7328124999999996
72,강남구,2017-01,396.4864321608043,0.6190954773869344
73,강남구,2017-02,358.21697247706396,0.7685779816513763
74,강남구,2017-03,405.17524752475276,0.6982673267326734
75,강남구,2017-04,395.80112994350327,0.6336158192090396
76,강남구,2017-05,431.7556213017755,0.5970414201183435
77,강남구,2017-06,390.69589041095907,0.7421232876712328
78,강남구,2017-07,342.16235294117655,0.720588235294118
79,강남구,2017-08,407.9105590062112,0.6670807453416148
80,강남구,2017-09,393.97058823529414,0.6411764705882352
81,강남구,2017-10,407.47532467532534,0.6376623376623374
82,강남구,2017-11,397.8384146341462,0.6820121951219512
83,강남구,2017-12,459.46914893617037,0.6013297872340426
84,강남구,2018-01,428.84173553718966,0.6295454545454546
85,강남구,2018-02,413.789719626169,0.6579439252336449
86,강남구,2018-03,486.0384259259265,0.5870370370370371
87,강남구,2018-04,403.3164102564102,0.6546153846153848
88,강남구,2018-05,445.50848484848507,0.6812121212121212
89,강남구,2018-06,444.37593360995874,0.6935684647302903
90,강남구,2018-07,434.1363636363638,0.662566844919786
91,강남구,2018-08,415.6110619469025,0.6986725663716815
92,강남구,2018-09,475.86613756613855,0.5658730158730159
93,강남구,2018-10,460.02897959183645,0.5977551020408163
94,강남구,2018-11,439.46972972973003,0.5794594594594594
95,강남구,2018-12,395.2314814814817,0.7372685185185186
96,강남구,2019-01,429.9193548387092,0.6413978494623651
97,강남구,2019-02,371.5080000000003,0.7845999999999996
98,강남구,2019-03,455.2891625615766,0.6261083743842365
99,강남구,2019-04,485.1733067729075,0.5998007968127493
100,강남구,2019-05,557.7933147632294,0.5802228412256267
101,강남구,2019-06,502.40574018126796,0.7270392749244718
102,강남구,2019-07,438.44183266932345,0.7362549800796815
103,강남구,2019-08,414.49598214285703,0.7399553571428577
104,강남구,2019-09,484.16138613861347,0.653960396039604
105,강남구,2019-10,483.7833333333347,0.7072916666666665
106,강남구,2019-11,557.1745762711871,0.5021186440677965
107,강남구,2019-12,547.0669491525422,0.6684322033898306
108,강동구,2011-01,213.12903225806448,0.5387096774193547
109,강동구,2011-02,195.56862745098042,0.8274509803921569
110,강동구,2011-03,153.5413793103448,1.1551724137931032
111,강동구,2011-04,206.12903225806446,0.6935483870967741
112,강동구,2011-05,197.44583333333344,0.7875000000000001
113,강동구,2011-06,187.32571428571424,0.7971428571428573
114,강동구,2011-07,201.05263157894734,0.663157894736842
115,강동구,2011-08,177.78205128205127,0.8820512820512818
116,강동구,2011-09,157.87804878048772,1.2073170731707321
117,강동구,2011-10,214.08437499999997,0.6749999999999999
118,강동구,2011-11,238.05806451612895,0.47419354838709676
