"year","month","gu","price"
"2010","08",은평구,372.8
"2010","08",종로구,499.2
"2010","08",중구,548.4
"2010","08",중랑구,353.2
"2010","09",강남구,805.6
"2010","09",강동구,446.7
"2010","09",강북구,339.4
"2010","09",강서구,390.8
"2010","09",관악구,414.5
"2010","09",광진구,468.7
"2010","09",구로구,328.0
"2010","09",금천구,321.0
"2010","09",노원구,390.1
"2010","09",도봉구,356.7
"2010","09",동대문구,406.4
"2010","09",동작구,491.1
"2010","09",마포구,631.6
"2010","09",서대문구,390.6
"2010","09",서초구,632.3
"2010","09",성동구,473.3
"2010","09",성북구,406.5
"2010","09",송파구,535.2
"2010","09",양천구,408.2
"2010","09",영등포구,452.7
"2010","09",용산구,850.3
"2010","09",은평구,351.0
"2010","09",종로구,544.1
"2010","09",중구,525.5
"2010","09",중랑구,370.2
"2010","10",강남구,750.4
"2010","10",강동구,443.2
"2010","10",강북구,338.7
"2010","10",강서구,360.9
"2010","10",관악구,449.3
"2010","10",광진구,503.0
"2010","10",구로구,357.9
"2010","10",금천구,307.9
"2010","10",노원구,405.7
"2010","10",도봉구,318.9
"2010","10",동대문구,386.8
"2010","10",동작구,456.7
"2010","10",마포구,519.4
"2010","10",서대문구,400.8
"2010","10",서초구,643.6
"2010","10",성동구,516.8
"2010","10",성북구,420.1
"2010","10",송파구,605.7
"2010","10",양천구,426.1
"2010","10",영등포구,438.9
"2010","10",용산구,775.4
"2010","10",은평구,353.7
"2010","10",종로구,553.4
"2010","10",중구,486.6
"2010","10",중랑구,353.3
"2010","11",강남구,748.2
"2010","11",강동구,426.5
"2010","11",강북구,350.4
"2010","11",강서구,387.8
"2010","11",관악구,421.2
"2010","11",광진구,489.9
"2010","11",구로구,381.3
"2010","11",금천구,307.4
"2010","11",노원구,367.2
"2010","11",도봉구,347.0
"2010","11",동대문구,413.4
"2010","11",동작구,461.6
"2010","11",마포구,606.8
"2010","11",서대문구,406.1
"2010","11",서초구,704.6
"2010","11",성동구,538.6
"2010","11",성북구,434.5
"2010","11",송파구,566.3
"2010","11",양천구,458.0
"2010","11",영등포구,490.1
"2010","11",용산구,765.6
"2010","11",은평구,361.5
"2010","11",종로구,595.6
"2010","11",중구,519.8
"2010","11",중랑구,359.9
"2010","12",강남구,701.8
"2010","12",강동구,464.0
"2010","12",강북구,335.0
"2010","12",강서구,440.5
"2010","12",관악구,423.0
"2010","12",광진구,483.9
"2010","12",구로구,378.3
"2010","12",금천구,311.7
"2010","12",노원구,404.7
"2010","12",도봉구,343.8
"2010","12",동대문구,394.6
"2010","12",동작구,455.0
"2010","12",마포구,600.2
"2010","12",서대문구,459.1
"2010","12",서초구,696.3
"2010","12",성동구,488.2
"2010","12",성북구,454.0
"2010","12",송파구,572.1
"2010","12",양천구,461.1
"2010","12",영등포구,473.5
"2010","12",용산구,851.2
"2010","12",은평구,382.5
"2010","12",종로구,490.8
"2010","12",중구,456.3
"2010","12",중랑구,367.7
"2011","01",강남구,730.4
"2011","01",강동구,437.9
"2011","01",강북구,339.3
"2011","01",강서구,397.5
"2011","01",관악구,454.7
"2011","01",광진구,488.8
"2011","01",구로구,362.3
"2011","01",금천구,320.4
"2011","01",노원구,379.0
"2011","01",도봉구,322.6
"2011","01",동대문구,396.2
"2011","01",동작구,479.2
"2011","01",마포구,555.7
"2011","01",서대문구,433.0
"2011","01",서초구,707.5
"2011","01",성동구,625.6
"2011","01",성북구,453.2
"2011","01",송파구,545.8
"2011","01",양천구,472.9
"2011","01",영등포구,465.2
"2011","01",용산구,823.2
"2011","01",은평구,407.6
"2011","01",종로구,614.0
"2011","01",중구,532.8
"2011","01",중랑구,362.6
"2011","02",강남구,680.7
"2011","02",강동구,439.9
"2011","02",강북구,345.8
"2011","02",강서구,384.0
"2011","02",관악구,441.2
"2011","02",광진구,484.9
"2011","02",구로구,367.1
"2011","02",금천구,341.5
"2011","02",노원구,381.0
"2011","02",도봉구,356.3
"2011","02",동대문구,400.0
"2011","02",동작구,453.4
"2011","02",마포구,550.6
"2011","02",서대문구,433.6
"2011","02",서초구,660.7
"2011","02",성동구,521.0
"2011","02",성북구,434.7
"2011","02",송파구,599.6
"2011","02",양천구,417.9
"2011","02",영등포구,448.0
"2011","02",용산구,807.8
"2011","02",은평구,380.8
"2011","02",종로구,652.9
"2011","02",중구,565.7
"2011","02",중랑구,365.4
"2011","03",강남구,731.7
"2011","03",강동구,451.8
"2011","03",강북구,351.5
"2011","03",강서구,385.3
"2011","03",관악구,425.1
"2011","03",광진구,482.5
"2011","03",구로구,384.1
"2011","03",금천구,324.6
"2011","03",노원구,380.7
"2011","03",도봉구,358.7
"2011","03",동대문구,416.3
"2011","03",동작구,440.7
"2011","03",마포구,588.0
"2011","03",서대문구,444.1
"2011","03",서초구,680.9
"2011","03",성동구,503.3
"2011","03",성북구,460.8
"2011","03",송파구,541.1
"2011","03",양천구,416.0
"2011","03",영등포구,452.6
"2011","03",용산구,759.4
"2011","03",은평구,388.8
"2011","03",종로구,564.4
"2011","03",중구,594.4
"2011","03",중랑구,362.7
"2011","04",강남구,738.4
"2011","04",강동구,439.7
"2011","04",강북구,343.7
"2011","04",강서구,382.7
"2011","04",관악구,452.4
"2011","04",광진구,495.9
"2011","04",구로구,375.4
"2011","04",금천구,331.1
"2011","04",노원구,398.6
"2011","04",도봉구,332.3
"2011","04",동대문구,423.6
"2011","04",동작구,476.3
"2011","04",마포구,560.4
"2011","04",서대문구,446.3
"2011","04",서초구,714.8
"2011","04",성동구,503.0
"2011","04",성북구,486.5
"2011","04",송파구,568.3
"2011","04",양천구,422.7
"2011","04",영등포구,447.5
"2011","04",용산구,765.3
"2011","04",은평구,352.2
"2011","04",종로구,607.4
"2011","04",중구,576.6
"2011","04",중랑구,364.7
"2011","05",강남구,723.2
"2011","05",강동구,447.5
"2011","05",강북구,348.4
"2011","05",강서구,390.8
"2011","05",관악구,429.8
"2011","05",광진구,497.1
"2011","05",구로구,384.7
"2011","05",금천구,327.8
"2011","05",노원구,371.4
"2011","05",도봉구,301.8
"2011","05",동대문구,413.4
"2011","05",동작구,434.3
"2011","05",마포구,562.7
"2011","05",서대문구,411.7
"2011","05",서초구,687.4
"2011","05",성동구,451.0
"2011","05",성북구,471.1
"2011","05",송파구,556.9
"2011","05",양천구,429.5
"2011","05",영등포구,479.4
"2011","05",용산구,714.1
"2011","05",은평구,362.1
"2011","05",종로구,577.0
"2011","05",중구,523.7
"2011","05",중랑구,360.9
"2011","06",강남구,841.0
"2011","06",강동구,513.9
"2011","06",강북구,369.6
"2011","06",강서구,394.7
"2011","06",관악구,428.5
"2011","06",광진구,514.0
"2011","06",구로구,414.6
"2011","06",금천구,298.5
"2011","06",노원구,352.7
"2011","06",도봉구,335.3
"2011","06",동대문구,414.1
"2011","06",동작구,436.7
"2011","06",마포구,553.8
"2011","06",서대문구,448.1
"2011","06",서초구,701.7
"2011","06",성동구,479.9
"2011","06",성북구,478.7
"2011","06",송파구,569.4
"2011","06",양천구,417.8
"2011","06",영등포구,470.4
"2011","06",용산구,774.0
"2011","06",은평구,365.8
"2011","06",종로구,589.4
"2011","06",중구,573.6
"2011","06",중랑구,348.6
"2011","07",강남구,892.9
"2011","07",강동구,453.9
"2011","07",강북구,352.9
"2011","07",강서구,364.9
"2011","07",관악구,462.7
"2011","07",광진구,485.3
"2011","07",구로구,359.2
"2011","07",금천구,329.2
"2011","07",노원구,382.2
"2011","07",도봉구,339.7
"2011","07",동대문구,416.8
"2011","07",동작구,469.9
"2011","07",마포구,579.6
"2011","07",서대문구,431.0
"2011","07",서초구,729.1
"2011","07",성동구,487.0
"2011","07",성북구,445.2
"2011","07",송파구,558.7
"2011","07",양천구,432.1
"2011","07",영등포구,459.0
"2011","07",용산구,857.4
"2011","07",은평구,357.9
"2011","07",종로구,624.1
"2011","07",중구,475.4
"2011","07",중랑구,373.2
"2011","08",강남구,807.3
"2011","08",강동구,455.8
"2011","08",강북구,343.1
"2011","08",강서구,368.1
"2011","08",관악구,449.7
"2011","08",광진구,470.3
"2011","08",구로구,401.5
"2011","08",금천구,335.8
"2011","08",노원구,371.0
"2011","08",도봉구,338.5
"2011","08",동대문구,401.9
"2011","08",동작구,460.8
