gu,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
노원구,31418.0,31294.0,31127.0,30994.0,30861.0,30741.0,30624.0,30503.0,30452.0,30403.0,30373.0,30316.0,30222.0,30076.0,29941.0,29847.0,29821.0,29800.0,29748.0,29699.0,29675.0,29708.0,29656.0,29591.0,29491.0,29485.0,29410.0,29365.0,29412.0,29412.0,29431.0,29467.0,29419.0,29468.0,29437.0,29341.0,29297.0,29366.0,29163.0,29078.0,29031.0,28872.0,28762.0,28661.0,28574.0,28427.0,28229.0,28071.0,27874.0,27746.0,27614.0,27595.0,27465.0,27286.0,27163.0,27042.0,26998.0,26965.0,26873.0,26817.0,26705.0,26610.0,26588.0,26615.0,26578.0,26552.0,26524.0,26468.0,26351.0,26327.0,26252.0,26230.0,26100.0,26109.0,26127.0,26146.0,26155.0,26143.0,26038.0,25939.0,25749.0,25474.0,25311.0,25224.0,24996.0,24875.0,24755.0,24592.0,24494.0,24348.0,24206.0,24050.0,23841.0,23711.0,23547.0,23386.0,23150.0,22857.0,22703.0,22497.0,22310.0,22171.0,21943.0,21717.0,21468.0,21249.0,21049.0,20905.0,20715.0,20486.0,20256.0,20083.0,19993.0,19875.0,19693.0,19508.0,19320.0,19131.0,19060.0,18989.0
은평구,23288.0,23390.0,23399.0,23401.0,23367.0,23450.0,23593.0,23729.0,23901.0,24057.0,24223.0,24385.0,24519.0,24630.0,24691.0,24720.0,24774.0,24771.0,24779.0,24835.0,24929.0,25009.0,25052.0,25132.0,25183.0,25334.0,25584.0,25776.0,25916.0,26014.0,26021.0,26070.0,26100.0,26125.0,26076.0,26036.0,25989.0,26074.0,26044.0,25994.0,25989.0,25986.0,25928.0,25777.0,25668.0,25671.0,25560.0,25402.0,25229.0,25103.0,24951.0,24875.0,24787.0,24733.0,24578.0,24432.0,24386.0,24288.0,24158.0,24163.0,24089.0,24103.0,24069.0,24024.0,23977.0,23908.0,23871.0,23885.0,23814.0,23745.0,23581.0,23538.0,23391.0,23300.0,23203.0,23100.0,23022.0,22964.0,22853.0,22741.0,22586.0,22406.0,22207.0,22077.0,21875.0,21756.0,21626.0,21497.0,21348.0,21269.0,21082.0,21038.0,20932.0,20778.0,20649.0,20553.0,20392.0,20169.0,20001.0,19822.0,19696.0,19500.0,19366.0,19243.0,19120.0,19002.0,18926.0,18806.0,18723.0,18661.0,18623.0,18569.0,18466.0,18413.0,18266.0,18057.0,17961.0,17879.0,17746.0,17604.0
서대문구,15660.0,15610.0,15601.0,15509.0,15480.0,15438.0,15302.0,15198.0,15136.0,15015.0,14883.0,14883.0,14806.0,14739.0,14635.0,14596.0,14507.0,14428.0,14331.0,14300.0,14215.0,14132.0,14084.0,14041.0,13924.0,13832.0,13750.0,13719.0,13700.0,13624.0,13604.0,13702.0,13666.0,13786.0,13959.0,14092.0,14118.0,14200.0,14153.0,14163.0,14185.0,14116.0,14100.0,14071.0,14075.0,14050.0,14021.0,13990.0,13937.0,13876.0,13854.0,13858.0,13816.0,13787.0,13691.0,13642.0,13628.0,13508.0,13391.0,13377.0,13260.0,13147.0,13122.0,13174.0,13113.0,13111.0,13087.0,13070.0,13028.0,13040.0,13428.0,13729.0,13819.0,13916.0,13972.0,14001.0,14086.0,14020.0,13952.0,13906.0,13873.0,13769.0,13646.0,13600.0,13569.0,13581.0,13607.0,13602.0,13624.0,13523.0,13476.0,13403.0,13301.0,13174.0,13119.0,13080.0,12976.0,12939.0,12831.0,12784.0,12716.0,12659.0,12575.0,12464.0,12392.0,12304.0,12329.0,12316.0,12283.0,12301.0,12253.0,12156.0,12083.0,12089.0,12033.0,11909.0,11821.0,11727.0,11649.0,11667.0
마포구,21165.0,20993.0,20867.0,20781.0,20760.0,20685.0,20696.0,20848.0,20921.0,20903.0,21077.0,21207.0,21250.0,21300.0,21324.0,21340.0,21388.0,21319.0,21280.0,21149.0,21117.0,21044.0,20899.0,20933.0,20888.0,20806.0,20650.0,20625.0,20556.0,20466.0,20494.0,20532.0,20522.0,20430.0,20424.0,20348.0,20379.0,20287.0,20162.0,20147.0,20074.0,19970.0,19919.0,19811.0,19713.0,19566.0,19521.0,19330.0,19217.0,19151.0,19085.0,19108.0,19054.0,18883.0,18763.0,18718.0,18685.0,18847.0,19049.0,19118.0,19067.0,19162.0,19159.0,19274.0,19370.0,19403.0,19419.0,19360.0,19377.0,19337.0,19202.0,19140.0,19075.0,19054.0,19081.0,19074.0,19054.0,19098.0,19081.0,19028.0,18962.0,18790.0,18647.0,18497.0,18341.0,18219.0,18146.0,18069.0,18031.0,17975.0,17922.0,17827.0,17746.0,17662.0,17549.0,17480.0,17352.0,17240.0,17081.0,17031.0,16949.0,16858.0,16834.0,16689.0,16522.0,16544.0,16512.0,16464.0,16322.0,16215.0,16105.0,16028.0,15968.0,15894.0,15766.0,15661.0,15691.0,15661.0,15608.0,15567.0
양천구,23404.0,23326.0,23200.0,23134.0,23074.0,23003.0,22907.0,22814.0,22737.0,22643.0,22600.0,22562.0,22553.0,22492.0,22325.0,22329.0,22438.0,22519.0,22790.0,23019.0,23079.0,23106.0,23095.0,23087.0,23049.0,23065.0,23085.0,23041.0,23033.0,23017.0,23011.0,23025.0,22986.0,22935.0,22917.0,22984.0,22960.0,23068.0,22895.0,22843.0,22806.0,22732.0,22671.0,22579.0,22456.0,22372.0,22278.0,22244.0,22028.0,22014.0,22007.0,21981.0,21983.0,21902.0,21802.0,21640.0,21612.0,21522.0,21472.0,21466.0,21414.0,21448.0,21543.0,21569.0,21597.0,21675.0,21657.0,21614.0,21542.0,21539.0,21590.0,21644.0,21603.0,21615.0,21548.0,21513.0,21532.0,21470.0,21405.0,21448.0,21387.0,21264.0,21116.0,21013.0,20898.0,20867.0,20847.0,20700.0,20596.0,20485.0,20430.0,20336.0,20244.0,20108.0,19978.0,19871.0,19754.0,19703.0,19508.0,19395.0,19217.0,19030.0,18902.0,18743.0,18549.0,18386.0,18258.0,18146.0,18000.0,17876.0,17789.0,17673.0,17547.0,17398.0,17274.0,17131.0,17013.0,16861.0,16721.0,16649.0
강서구,32152.0,31992.0,31816.0,31711.0,31573.0,31453.0,31339.0,31216.0,31109.0,31033.0,30957.0,30932.0,30906.0,30911.0,30733.0,30711.0,30697.0,30700.0,30535.0,30376.0,30316.0,30207.0,30212.0,30220.0,30242.0,30150.0,30100.0,30123.0,30154.0,30194.0,30214.0,30247.0,30241.0,30286.0,30299.0,30319.0,30218.0,30272.0,30148.0,30188.0,30174.0,30145.0,30110.0,30033.0,29961.0,30063.0,30073.0,30033.0,29879.0,29784.0,29683.0,29662.0,29616.0,30009.0,30576.0,30999.0,31190.0,31387.0,31395.0,31483.0,31447.0,31519.0,31610.0,31539.0,31623.0,31653.0,31725.0,31732.0,31693.0,31643.0,31633.0,31651.0,31671.0,31691.0,31740.0,31722.0,31762.0,31738.0,31674.0,31734.0,31807.0,31880.0,31877.0,31809.0,31582.0,31390.0,31232.0,31091.0,31245.0,31239.0,31206.0,31087.0,30891.0,30739.0,30636.0,30500.0,30278.0,30148.0,29954.0,29724.0,29562.0,29338.0,29018.0,28755.0,28514.0,28251.0,28017.0,27812.0,27522.0,27330.0,27056.0,26958.0,26799.0,26628.0,26414.0,26138.0,25873.0,25652.0,25426.0,25241.0
구로구,24889.0,24800.0,24687.0,24625.0,24624.0,24680.0,24691.0,24612.0,24625.0,24568.0,24554.0,24626.0,24526.0,24528.0,24519.0,24517.0,24587.0,24633.0,24696.0,24931.0,25049.0,25287.0,25560.0,25684.0,25726.0,25681.0,25658.0,25749.0,25809.0,25802.0,25828.0,25897.0,25882.0,25916.0,25942.0,25929.0,25933.0,25944.0,25756.0,25669.0,25652.0,25536.0,25460.0,25344.0,25223.0,25130.0,25056.0,24990.0,24981.0,25035.0,25074.0,25121.0,25162.0,25138.0,25097.0,25036.0,25015.0,24892.0,24731.0,24637.0,24580.0,24408.0,24397.0,24388.0,24395.0,24359.0,24354.0,24329.0,24270.0,24216.0,24084.0,24053.0,23931.0,23881.0,23789.0,23737.0,23664.0,23614.0,23490.0,23311.0,23127.0,22906.0,22708.0,22548.0,22359.0,22098.0,21950.0,21774.0,21601.0,21546.0,21394.0,21232.0,21100.0,20901.0,20725.0,20564.0,20315.0,19963.0,19661.0,19464.0,19333.0,19186.0,19062.0,18941.0,18762.0,18603.0,18451.0,18344.0,18118.0,17892.0,17908.0,17876.0,17789.0,17741.0,17741.0,17730.0,17684.0,17616.0,17591.0,17506.0
금천구,11604.0,11529.0,11441.0,11379.0,11341.0,11322.0,11261.0,11234.0,11209.0,11214.0,11115.0,11088.0,11057.0,11057.0,11062.0,11030.0,10966.0,10985.0,10930.0,10914.0,10931.0,10869.0,10892.0,10927.0,10940.0,10987.0,10987.0,10966.0,10939.0,10945.0,10974.0,10935.0,10937.0,10964.0,10937.0,10954.0,10914.0,10927.0,10862.0,10803.0,10801.0,10745.0,10754.0,10739.0,10756.0,10693.0,10623.0,10558.0,10510.0,10457.0,10440.0,10421.0,10419.0,10390.0,10381.0,10357.0,10344.0,10314.0,10266.0,10261.0,10241.0,10240.0,10269.0,10253.0,10261.0,10247.0,10262.0,10239.0,10233.0,10218.0,10142.0,10153.0,10115.0,10070.0,10037.0,10003.0,9995.0,9970.0,9935.0,9859.0,9820.0,9727.0,9704.0,9891.0,9910.0,9949.0,9947.0,9875.0,9870.0,9819.0,9751.0,9716.0,9645.0,9613.0,9597.0,9576.0,9488.0,9381.0,9276.0,9150.0,9085.0,9029.0,8945.0,8863.0,8763.0,8657.0,8735.0,8711.0,8717.0,8620.0,8570.0,8548.0,8486.0,8444.0,8397.0,8314.0,8250.0,8170.0,8122.0,8038.0
영등포구,22597.0,22534.0,22351.0,22281.0,22219.0,22193.0,22082.0,22036.0,21883.0,21859.0,21857.0,21880.0,21860.0,21799.0,21720.0,21642.0,21624.0,21565.0,21459.0,21365.0,21379.0,21269.0,21245.0,21144.0,21072.0,20984.0,20953.0,20927.0,20880.0,20866.0,20806.0,20733.0,20686.0,20635.0,20601.0,20587.0,20469.0,20446.0,20335.0,20208.0,20153.0,20106.0,20111.0,19999.0,19932.0,19844.0,19685.0,19671.0,19499.0,19328.0,19254.0,19288.0,19265.0,19184.0,19126.0,19067.0,19045.0,18982.0,18871.0,18833.0,18779.0,18824.0,18821.0,18850.0,18843.0,18887.0,18856.0,18784.0,18781.0,18718.0,18655.0,18659.0,18568.0,18603.0,18607.0,18612.0,18599.0,18523.0,18472.0,18390.0,18247.0,18099.0,17982.0,17901.0,17712.0,17568.0,17419.0,17369.0,17492.0,17470.0,17413.0,17377.0,17439.0,17377.0,17322.0,17255.0,17273.0,17169.0,17031.0,16965.0,16963.0,16869.0,16729.0,16648.0,16545.0,16469.0,16311.0,16191.0,16121.0,16042.0,16053.0,16035.0,16028.0,15996.0,15976.0,15854.0,15771.0,15665.0,15583.0,15527.0
동작구,20383.0,20352.0,20205.0,20173.0,20140.0,20144.0,20184.0,20223.0,20183.0,20173.0,20163.0,20130.0,20134.0,20106.0,20057.0,20103.0,20101.0,20163.0,20100.0,20045.0,20078.0,20088.0,20063.0,20152.0,20176.0,20118.0,20107.0,20084.0,20064.0,20087.0,20138.0,20226.0,20220.0,20438.0,20512.0,20533.0,20603.0,20549.0,20487.0,20445.0,20405.0,20435.0,20417.0,20438.0,20422.0,20435.0,20405.0,20373.0,20274.0,20259.0,20199.0,20165.0,20166.0,20147.0,20084.0,19965.0,19995.0,19976.0,19936.0,19917.0,19849.0,19755.0,19741.0,19691.0,19744.0,19721.0,19661.0,19578.0,19488.0,19474.0,19397.0,19422.0,19333.0,19311.0,19218.0,19188.0,19205.0,19153.0,19103.0,19069.0,19064.0,19027.0,18905.0,18825.0,18654.0,18520.0,18462.0,18387.0,18311.0,18233.0,18156.0,18028.0,17960.0,17911.0,17784.0,17664.0,17436.0,17226.0,17070.0,17006.0,17004.0,16947.0,16818.0,16712.0,16592.0,16451.0,16319.0,16326.0,16324.0,16219.0,16091.0,16049.0,16009.0,15971.0,15818.0,15713.0,15615.0,15512.0,15387.0,15273.0
