"year","month","gu","price","kind"
"2010","04",성동구,567.8,"1"
"2010","04",광진구,618.6,"1"
"2010","04",동대문구,433.9,"1"
"2010","04",중랑구,421.2,"1"
"2010","04",성북구,436.4,"1"
"2010","04",강북구,406.7,"1"
"2010","04",도봉구,407.3,"1"
"2010","04",노원구,437.6,"1"
"2010","04",은평구,422.9,"1"
"2010","04",서대문구,417.6,"1"
"2010","04",마포구,597.1,"1"
"2010","04",양천구,591.3,"1"
"2010","04",강서구,454.4,"1"
"2010","04",구로구,411.0,"1"
"2010","04",금천구,372.4,"1"
"2010","04",영등포구,552.7,"1"
"2010","04",동작구,563.0,"1"
"2010","04",관악구,451.9,"1"
"2010","04",서초구,870.1,"1"
"2010","04",강남구,1015.9,"1"
"2010","04",송파구,892.8,"1"
"2010","04",강동구,543.6,"1"
"2010","05",종로구,512.1,"1"
"2010","05",중구,513.5,"1"
"2010","05",용산구,764.1,"1"
"2010","05",성동구,607.5,"1"
"2010","05",광진구,676.3,"1"
"2010","05",동대문구,414.5,"1"
"2010","05",중랑구,415.8,"1"
"2010","05",성북구,443.2,"1"
"2010","05",강북구,394.7,"1"
"2010","05",도봉구,391.2,"1"
"2010","05",노원구,425.5,"1"
"2010","05",은평구,412.9,"1"
"2010","05",서대문구,445.3,"1"
"2010","05",마포구,614.6,"1"
"2010","05",양천구,584.4,"1"
"2010","05",강서구,452.2,"1"
"2010","05",구로구,426.6,"1"
"2010","05",금천구,375.6,"1"
"2010","05",영등포구,561.9,"1"
"2010","05",동작구,546.5,"1"
"2010","05",관악구,458.7,"1"
"2010","05",서초구,874.3,"1"
"2010","05",강남구,1043.0,"1"
"2010","05",송파구,854.6,"1"
"2010","05",강동구,620.2,"1"
"2010","06",종로구,557.8,"1"
"2010","06",중구,588.4,"1"
"2010","06",용산구,853.7,"1"
"2010","06",성동구,612.7,"1"
"2010","06",광진구,613.6,"1"
"2010","06",동대문구,433.7,"1"
"2010","06",중랑구,408.0,"1"
"2010","06",성북구,441.0,"1"
"2010","06",강북구,397.8,"1"
"2010","06",도봉구,389.7,"1"
"2010","06",노원구,430.2,"1"
"2010","06",은평구,417.8,"1"
"2010","06",서대문구,438.9,"1"
"2010","06",마포구,625.8,"1"
"2010","06",양천구,610.7,"1"
"2010","06",강서구,462.7,"1"
"2010","06",구로구,441.9,"1"
"2010","06",금천구,374.1,"1"
"2010","06",영등포구,580.6,"1"
"2010","06",동작구,523.5,"1"
"2010","06",관악구,447.7,"1"
"2010","06",서초구,859.9,"1"
"2010","06",강남구,1016.9,"1"
"2010","06",송파구,893.9,"1"
"2010","06",강동구,580.4,"1"
"2010","07",종로구,500.7,"1"
"2010","07",중구,595.5,"1"
"2010","07",용산구,857.2,"1"
"2010","07",성동구,607.1,"1"
"2010","07",광진구,650.1,"1"
"2010","07",동대문구,448.3,"1"
"2010","07",중랑구,401.4,"1"
"2010","07",성북구,442.1,"1"
"2010","07",강북구,395.0,"1"
"2010","07",도봉구,377.3,"1"
