"고유번호","읍면동코드","읍면동명","읍면동영문명","위도","경도"
"281","11170108","서계동","Seogye-dong","37.5526054","126.9665239"
"282","11110187","무악동","Muak-dong","37.5767914","126.9582275"
"283","11170116","청암동","Cheongam-dong","37.5342588","126.9468778"
"284","11560130","양평동6가","Yangpyeong-dong 6(yuk)-ga","37.5427197","126.8894307"
"287","11710112","오금동","Ogeum-dong","37.5037347","127.1339176"
"288","11200104","도선동","Doseon-dong","37.5634228","127.0332231"
"328","11680115","수서동","Suseo-dong","37.4855136","127.0984643"
"332","11440117","신정동","Sinjeong-dong","37.5432644","126.9306672"
"333","11560116","당산동6가","Dangsan-dong 6(yuk)-ga","37.5347504","126.9031693"
"334","11560125","양평동1가","Yangpyeong-dong 1(il)-ga","37.5231837","126.8886735"
"335","11290118","동선동3가","Dongseon-dong 3(sam)-ga","37.5941547","127.0204848"
"337","11680107","신사동","Sinsa-dong","37.522901","127.0246548"
"338","11290123","안암동3가","Anam-dong 3(sam)-ga","37.5839528","127.0236728"
"339","11560123","문래동5가","Mullae-dong 5(o)-ga","37.5163676","126.8835197"
"340","11560101","영등포동","Yeongdeungpo-dong","37.5134157","126.9067835"
"341","11380107","응암동","Eungam-dong","37.5926842","126.9257984"
"342","11710102","신천동","Sincheon-dong","37.5250784","127.0921991"
"343","11590106","동작동","Dongjak-dong","37.4999089","126.9736767"
"344","11590107","사당동","Sadang-dong","37.4851779","126.9717959"
"345","11290139","석관동","Seokgwan-dong","37.6079392","127.0611739"
"346","11500102","등촌동","Deungchon-dong","37.5519877","126.8527941"
"348","11560109","영등포동8가","Yeongdeungpo-dong 8(pal)-ga","37.5290851","126.9050149"
"314","11440123","망원동","Mangwon-dong","37.5559402","126.8999194"
"315","11110111","옥인동","Ogin-dong","37.5835524","126.9641935"
"316","11110112","체부동","Chebu-dong","37.5778624","126.9710381"
"317","11740108","성내동","Seongnae-dong","37.5304064","127.1288442"
"320","11560120","문래동2가","Mullae-dong 2(i)-ga","37.5127162","126.8935375"
"321","11560124","문래동6가","Mullae-dong 6(yuk)-ga","37.5200428","126.8841712"
"322","11560104","영등포동3가","Yeongdeungpo-dong 3(sam)-ga","37.5181304","126.9083998"
"323","11440103","신공덕동","Singongdeok-dong","37.5443996","126.9556064"
"324","11440104","도화동","Dohwa-dong","37.5395606","126.9506254"
"325","11710101","잠실동","Jamsil-dong","37.5111559","127.0858092"
"327","11680114","일원동","Irwon-dong","37.487919","127.0852156"
"354","11440109","염리동","Yeomni-dong","37.5492254","126.9472146"
"355","11740102","고덕동","Godeok-dong","37.5655385","127.1576823"
"356","11740106","둔촌동","Dunchon-dong","37.5289353","127.1467424"
"357","11560118","도림동","Dorim-dong","37.5082421","126.9015397"
"358","11740109","천호동","Cheonho-dong","37.5431857","127.1265643"
"359","11440120","서교동","Seogyo-dong","37.5536496","126.9200803"
"360","11290101","성북동","Seongbuk-dong","37.5963213","126.9925431"
"363","11740103","상일동","Sangil-dong","37.5508013","127.1698689"
"364","11440114","창전동","Changjeon-dong","37.5498986","126.9290709"
"365","11410114","신촌동","Sinchon-dong","37.5651557","126.9433451"
"366","11410117","연희동","Yeonhui-dong","37.5725293","126.9312648"
"368","11440110","노고산동","Nogosan-dong","37.5540256","126.9382447"
"369","11290120","동선동5가","Dongseon-dong 5(o)-ga","37.5963264","127.0168843"
"370","11290121","안암동1가","Anam-dong 1(il)-ga","37.5887176","127.0222897"
"350","11440101","아현동","Ahyeon-dong","37.554422","126.9559626"
"351","11560133","대림동","Daerim-dong","37.4970578","126.9009236"
"352","11710113","거여동","Geoyeo-dong","37.4893748","127.1470227"
"353","11440102","공덕동","Gongdeok-dong","37.5473874","126.9555575"
"362","11740101","명일동","Myeongil-dong","37.5485893","127.151755"
"411","11680110","압구정동","Apgujeong-dong","37.52883","127.0295045"
"414","11710104","송파동","Songpa-dong","37.5049182","127.1138534"
"420","11560102","영등포동1가","Yeongdeungpo-dong 1(il)-ga","37.517729","126.9126708"
"428","11560129","양평동5가","Yangpyeong-dong 5(o)-ga","37.5389197","126.8929394"
"431","11290106","동소문동3가","Dongsomun-dong 3(sam)-ga","37.5903924","127.0116169"
"436","11290115","삼선동5가","Samseon-dong 5(o)-ga","37.5885476","127.016002"
"443","11110109","누상동","Nusang-dong","37.5802364","126.9623723"
"446","11290108","동소문동5가","Dongsomun-dong 5(o)-ga","37.5915119","127.0150675"
"452","11290113","삼선동3가","Samseon-dong 3(sam)-ga","37.5867502","127.0134419"
"458","11380109","신사동","Sinsa-dong","37.5959208","126.9074632"
