"년","구이름","동이름","평균거래금액","평균전용면적","평당가격","구분"
"2010",용산구,원효로4가,61313,77.0,816,"1"
"2010",노원구,월계동,27408,63.0,433,"1"
"2010",중구,을지로5가,36983,85.0,436,"1"
"2010",성동구,응봉동,46846,79.0,595,"1"
"2010",은평구,응암동,31780,81.0,394,"1"
"2010",동대문구,이문동,39239,84.0,473,"1"
"2010",용산구,이촌동,94677,99.0,957,"1"
"2010",용산구,이태원동,71517,104.0,685,"1"
"2010",종로구,이화동,29300,84.0,347,"1"
"2010",종로구,익선동,20564,48.0,428,"1"
"2010",종로구,인의동,46383,95.0,494,"1"
"2010",중구,인현동2가,30000,79.0,405,"1"
"2010",강남구,일원동,76180,81.0,923,"1"
"2010",광진구,자양동,59872,86.0,673,"1"
"2010",송파구,잠실동,99183,87.0,1157,"1"
"2010",서초구,잠원동,83926,88.0,960,"1"
"2010",동대문구,장안동,37128,83.0,457,"1"
"2010",성북구,장위동,34590,78.0,452,"1"
"2010",송파구,장지동,50325,77.0,662,"1"
"2010",중구,장충동1가,412000,245.0,1683,"1"
"2010",중구,장충동2가,6450,31.0,206,"1"
"2010",동대문구,전농동,33448,79.0,433,"1"
"2010",중구,정동,31700,45.0,705,"1"
"2010",성북구,정릉동,30727,76.0,406,"1"
"2010",동대문구,제기동,37623,85.0,451,"1"
"2010",성북구,종암동,34584,73.0,475,"1"
"2010",노원구,중계동,31289,64.0,469,"1"
"2010",광진구,중곡동,30512,73.0,425,"1"
"2010",마포구,중동,40649,79.0,515,"1"
"2010",중구,중림동,52583,75.0,706,"1"
"2010",중랑구,중화동,28319,68.0,419,"1"
"2010",은평구,증산동,34766,84.0,422,"1"
"2010",은평구,진관동,50734,101.0,495,"1"
"2010",도봉구,창동,28907,66.0,428,"1"
"2010",종로구,창신동,30210,66.0,462,"1"
"2010",마포구,창전동,50600,82.0,620,"1"
"2010",서대문구,창천동,33442,84.0,404,"1"
"2010",서대문구,천연동,34474,61.0,573,"1"
"2010",강동구,천호동,33277,72.0,465,"1"
"2010",강남구,청담동,91310,101.0,880,"1"
"2010",동대문구,청량리동,43218,99.0,443,"1"
"2010",용산구,청암동,160892,207.0,775,"1"
"2010",종로구,청운동,51000,79.0,647,"1"
"2010",용산구,청파동1가,35500,77.0,464,"1"
"2010",용산구,청파동3가,50000,98.0,508,"1"
"2010",중구,충무로4가,94071,134.0,703,"1"
"2010",서대문구,충정로2가,36157,83.0,438,"1"
"2010",서대문구,충정로3가,28108,61.0,474,"1"
"2010",마포구,토정동,44023,67.0,661,"1"
"2010",종로구,통인동,9000,52.0,180,"1"
"2010",종로구,평창동,41302,91.0,429,"1"
"2010",송파구,풍납동,43146,75.0,580,"1"
"2010",중구,필동3가,42500,131.0,325,"1"
"2010",종로구,필운동,49500,85.0,584,"1"
"2010",노원구,하계동,30930,65.0,463,"1"
"2010",성동구,하왕십리동,41500,79.0,533,"1"
"2010",성북구,하월곡동,38108,78.0,492,"1"
"2010",마포구,하중동,139875,137.0,1002,"1"
"2010",용산구,한강로1가,102000,111.0,913,"1"
"2010",용산구,한강로2가,44035,57.0,740,"1"
"2010",용산구,한강로3가,145757,133.0,1066,"1"
"2010",용산구,한남동,60716,83.0,690,"1"
"2010",서대문구,합동,53140,85.0,625,"1"
"2010",마포구,합정동,46507,93.0,512,"1"
"2010",구로구,항동,32509,79.0,398,"1"
"2010",성동구,행당동,44362,75.0,593,"1"
"2010",종로구,행촌동,13975,63.0,231,"1"
"2010",마포구,현석동,68994,93.0,725,"1"
"2010",서대문구,현저동,38906,73.0,527,"1"
"2010",종로구,혜화동,35000,114.0,307,"1"
"2010",서대문구,홍은동,36603,94.0,375,"1"
"2010",성동구,홍익동,34018,82.0,414,"1"
"2010",서대문구,홍제동,33085,77.0,435,"1"
"2010",강서구,화곡동,35831,81.0,432,"1"
"2010",광진구,화양동,33682,69.0,490,"1"
"2010",중구,황학동,50344,80.0,628,"1"
"2010",동대문구,회기동,29904,74.0,405,"1"
"2010",중구,회현동1가,22817,70.0,326,"1"
"2010",용산구,효창동,50936,106.0,497,"1"
"2010",용산구,후암동,59391,105.0,572,"1"
"2010",동대문구,휘경동,33281,76.0,443,"1"
"2010",동작구,흑석동,66414,97.0,653,"1"
"2010",중구,흥인동,30842,66.0,465,"1"
"2011",송파구,가락동,54115,65.0,909,"1"
"2011",구로구,가리봉동,28200,89.0,318,"1"
"2011",금천구,가산동,29697,74.0,406,"1"
"2011",강서구,가양동,27254,56.0,489,"1"
"2011",용산구,갈월동,50000,69.0,722,"1"
"2011",은평구,갈현동,25565,79.0,321,"1"
"2011",강동구,강일동,48974,100.0,484,"1"
"2011",구로구,개봉동,32100,76.0,427,"1"
"2011",강남구,개포동,70825,52.0,1453,"1"
"2011",송파구,거여동,36667,64.0,579,"1"
"2011",종로구,견지동,95500,150.0,638,"1"
"2011",강동구,고덕동,48047,50.0,1028,"1"
"2011",구로구,고척동,31662,74.0,424,"1"
"2011",마포구,공덕동,55130,76.0,732,"1"
"2011",노원구,공릉동,26871,63.0,428,"1"
"2011",강서구,공항동,32762,67.0,494,"1"
"2011",광진구,광장동,58476,81.0,721,"1"
"2011",종로구,교북동,20000,60.0,333,"1"
"2011",종로구,구기동,44200,145.0,304,"1"
"2011",구로구,구로동,28266,66.0,433,"1"
"2011",은평구,구산동,28629,87.0,333,"1"
"2011",광진구,구의동,51468,85.0,608,"1"
"2011",광진구,군자동,51885,99.0,519,"1"
"2011",구로구,궁동,30450,82.0,370,"1"
"2011",성동구,금호동1가,40853,77.0,535,"1"
"2011",성동구,금호동3가,42743,78.0,564,"1"
"2011",성동구,금호동4가,51672,75.0,682,"1"
"2011",강동구,길동,34295,77.0,447,"1"
"2011",성북구,길음동,40111,77.0,525,"1"
"2011",종로구,낙원동,30000,74.0,408,"1"
"2011",서대문구,남가좌동,37752,78.0,491,"1"
"2011",중구,남대문로5가,129778,153.0,871,"1"
"2011",중구,남산동2가,28450,64.0,442,"1"
"2011",중구,남창동,17875,46.0,394,"1"
"2011",관악구,남현동,43143,86.0,506,"1"
"2011",강서구,내발산동,41094,79.0,524,"1"
"2011",종로구,내수동,106050,133.0,790,"1"
"2011",서대문구,냉천동,45577,77.0,587,"1"
"2011",마포구,노고산동,22108,34.0,667,"1"
"2011",동작구,노량진동,41744,79.0,533,"1"
"2011",은평구,녹번동,29622,75.0,402,"1"
"2011",강남구,논현동,63008,86.0,743,"1"
"2011",광진구,능동,31400,66.0,478,"1"
"2011",동대문구,답십리동,33183,74.0,456,"1"
"2011",영등포구,당산동,45562,78.0,596,"1"
"2011",영등포구,당산동1가,36129,67.0,548,"1"
"2011",영등포구,당산동2가,28416,56.0,495,"1"
"2011",영등포구,당산동3가,46470,86.0,536,"1"
"2011",영등포구,당산동4가,64049,93.0,646,"1"
"2011",영등포구,당산동5가,59201,88.0,681,"1"
"2011",종로구,당주동,42575,99.0,432,"1"
"2011",영등포구,대림동,32991,73.0,457,"1"
"2011",동작구,대방동,44651,76.0,580,"1"
"2011",은평구,대조동,31860,76.0,415,"1"
"2011",강남구,대치동,105494,90.0,1138,"1"
"2011",서대문구,대현동,37466,74.0,529,"1"
"2011",마포구,대흥동,46977,80.0,588,"1"
"2011",강남구,도곡동,104766,98.0,1041,"1"
"2011",영등포구,도림동,28684,68.0,434,"1"
"2011",도봉구,도봉동,27455,73.0,377,"1"
"2011",성동구,도선동,43423,83.0,524,"1"
"2011",용산구,도원동,50089,76.0,668,"1"
"2011",마포구,도화동,47992,85.0,581,"1"
"2011",금천구,독산동,25410,70.0,365,"1"
"2011",성북구,돈암동,34442,80.0,435,"1"
"2011",마포구,동교동,43700,85.0,515,"1"
"2011",용산구,동빙고동,98600,150.0,671,"1"
"2011",성북구,동선동1가,45758,113.0,405,"1"
"2011",성북구,동선동4가,24950,68.0,365,"1"
"2011",성북구,동소문동4가,28360,66.0,424,"1"
"2011",성북구,동소문동5가,47071,85.0,554,"1"
"2011",성북구,동소문동7가,33950,65.0,521,"1"
"2011",종로구,동숭동,18500,59.0,312,"1"
"2011",용산구,동자동,28250,40.0,711,"1"
"2011",동작구,동작동,49310,87.0,572,"1"
"2011",강동구,둔촌동,57000,80.0,726,"1"
"2011",강서구,등촌동,33877,69.0,490,"1"
"2011",강서구,마곡동,33188,71.0,467,"1"
"2011",성동구,마장동,37738,75.0,515,"1"
"2011",송파구,마천동,46610,94.0,499,"1"
"2011",마포구,마포동,40510,80.0,516,"1"
"2011",중구,만리동1가,36533,75.0,497,"1"
"2011",중구,만리동2가,21000,47.0,446,"1"
"2011",중랑구,망우동,29598,69.0,433,"1"
"2011",마포구,망원동,38448,81.0,475,"1"
"2011",중랑구,면목동,28940,70.0,418,"1"
"2011",종로구,명륜1가,44250,102.0,442,"1"
"2011",종로구,명륜2가,50723,78.0,646,"1"
"2011",강동구,명일동,43999,77.0,580,"1"
"2011",양천구,목동,66785,87.0,763,"1"
"2011",종로구,무악동,60361,88.0,681,"1"
"2011",중랑구,묵동,35575,76.0,455,"1"
"2011",중구,묵정동,21700,53.0,411,"1"
"2011",영등포구,문래동2가,30260,61.0,493,"1"
"2011",영등포구,문래동3가,58293,92.0,632,"1"
"2011",영등포구,문래동4가,35688,76.0,471,"1"
"2011",영등포구,문래동5가,31551,78.0,404,"1"
"2011",영등포구,문래동6가,29116,66.0,449,"1"
"2011",용산구,문배동,59396,89.0,665,"1"
"2011",송파구,문정동,61233,87.0,685,"1"
"2011",서대문구,미근동,11750,42.0,282,"1"
"2011",강북구,미아동,33271,78.0,432,"1"
"2011",서초구,반포동,122634,103.0,1211,"1"
"2011",서초구,방배동,75842,103.0,745,"1"
"2011",송파구,방이동,78191,96.0,794,"1"
"2011",도봉구,방학동,27895,75.0,368,"1"
"2011",강서구,방화동,28129,63.0,448,"1"
"2011",강북구,번동,26822,69.0,393,"1"
"2011",용산구,보광동,61288,77.0,780,"1"
"2011",성북구,보문동3가,39811,74.0,538,"1"
"2011",성북구,보문동6가,31544,85.0,373,"1"
"2011",동작구,본동,51194,75.0,684,"1"
"2011",관악구,봉천동,36984,75.0,501,"1"
"2011",종로구,부암동,30500,91.0,336,"1"
"2011",서대문구,북가좌동,34958,83.0,424,"1"
"2011",서대문구,북아현동,31451,67.0,470,"1"
"2011",은평구,불광동,36379,77.0,471,"1"
"2011",성동구,사근동,30317,77.0,393,"1"
"2011",동작구,사당동,45373,81.0,567,"1"
"2011",종로구,사직동,93600,116.0,813,"1"
"2011",용산구,산천동,43707,71.0,614,"1"
"2011",성북구,삼선동2가,37644,74.0,516,"1"
"2011",성북구,삼선동3가,29900,90.0,334,"1"
"2011",성북구,삼선동4가,40307,91.0,462,"1"
"2011",성북구,삼선동5가,30500,83.0,370,"1"
"2011",강남구,삼성동,85496,89.0,949,"1"
"2011",송파구,삼전동,38767,75.0,517,"1"
"2011",노원구,상계동,25116,59.0,423,"1"
"2011",동작구,상도1동,28467,76.0,383,"1"
"2011",동작구,상도동,47438,81.0,590,"1"
"2011",중랑구,상봉동,33499,77.0,435,"1"
"2011",마포구,상수동,62831,96.0,656,"1"
"2011",마포구,상암동,57999,80.0,724,"1"
"2011",성북구,상월곡동,30300,74.0,413,"1"
"2011",강동구,상일동,49081,66.0,803,"1"
"2011",마포구,서교동,31532,60.0,530,"1"
"2011",용산구,서빙고동,117097,129.0,890,"1"
"2011",서초구,서초동,78629,99.0,785,"1"
"2011",성북구,석관동,33739,75.0,459,"1"
"2011",송파구,석촌동,56318,85.0,660,"1"
"2011",강동구,성내동,36609,74.0,503,"1"
"2011",성북구,성북동,24600,60.0,388,"1"
"2011",마포구,성산동,38141,67.0,591,"1"
"2011",성동구,성수동1가,47989,72.0,676,"1"
"2011",성동구,성수동2가,52443,84.0,615,"1"
"2011",강남구,세곡동,61266,105.0,573,"1"
"2011",성동구,송정동,35130,76.0,466,"1"
"2011",송파구,송파동,61521,92.0,677,"1"
"2011",은평구,수색동,35270,79.0,446,"1"
"2011",강남구,수서동,46749,55.0,868,"1"
"2011",종로구,수송동,47275,59.0,787,"1"
"2011",강북구,수유동,27827,75.0,381,"1"
"2011",중구,순화동,37236,72.0,518,"1"
"2011",종로구,숭인동,46460,79.0,587,"1"
"2011",금천구,시흥동,26510,74.0,365,"1"
"2011",용산구,신계동,95886,106.0,917,"1"
"2011",마포구,신공덕동,46849,69.0,692,"1"
"2011",종로구,신교동,53500,85.0,631,"1"
"2011",영등포구,신길동,35001,71.0,498,"1"
"2011",중랑구,신내동,26633,66.0,414,"1"
"2011",중구,신당동,44544,78.0,568,"1"
"2011",동작구,신대방동,47368,88.0,545,"1"
"2011",구로구,신도림동,44411,79.0,559,"1"
"2011",관악구,신림동,32523,73.0,454,"1"
"2011",은평구,신사동,33626,80.0,400,"1"
"2011",동대문구,신설동,33806,72.0,463,"1"
"2011",마포구,신수동,42534,76.0,559,"1"
"2011",종로구,신영동,27500,70.0,393,"1"
"2011",양천구,신월동,26936,73.0,373,"1"
"2011",마포구,신정동,47097,80.0,589,"1"
"2011",용산구,신창동,55000,85.0,649,"1"
"2011",송파구,신천동,80537,81.0,1016,"1"
"2011",도봉구,쌍문동,23340,67.0,352,"1"
"2011",마포구,아현동,38759,75.0,518,"1"
"2011",성북구,안암동1가,38641,69.0,559,"1"
"2011",성북구,안암동3가,20006,64.0,300,"1"
"2011",성북구,안암동4가,18600,65.0,288,"1"
"2011",강동구,암사동,46263,76.0,609,"1"
"2011",강남구,압구정동,158984,120.0,1348,"1"
"2011",서초구,양재동,53368,83.0,654,"1"
"2011",영등포구,양평동1가,32984,64.0,531,"1"
"2011",영등포구,양평동2가,27336,59.0,460,"1"
"2011",영등포구,양평동3가,37197,77.0,487,"1"
"2011",영등포구,양평동4가,33961,74.0,457,"1"
"2011",영등포구,양평동5가,34677,67.0,518,"1"
"2011",영등포구,양평동6가,31562,72.0,442,"1"
"2011",영등포구,여의도동,94432,119.0,817,"1"
"2011",강남구,역삼동,59844,71.0,845,"1"
"2011",은평구,역촌동,29016,73.0,401,"1"
"2011",마포구,연남동,35752,75.0,482,"1"
"2011",서대문구,연희동,40308,83.0,477,"1"
"2011",마포구,염리동,49268,78.0,604,"1"
"2011",강서구,염창동,36739,74.0,491,"1"
"2011",영등포구,영등포동,40875,74.0,556,"1"
"2011",영등포구,영등포동1가,33250,85.0,393,"1"
"2011",영등포구,영등포동5가,26333,63.0,422,"1"
"2011",영등포구,영등포동7가,35435,74.0,485,"1"
"2011",영등포구,영등포동8가,48503,82.0,592,"1"
"2011",서대문구,영천동,41659,83.0,502,"1"
"2011",중구,예장동,38000,110.0,344,"1"
"2011",송파구,오금동,48663,79.0,615,"1"
"2011",구로구,오류동,29687,79.0,384,"1"
"2011",성동구,옥수동,55636,90.0,621,"1"
"2011",구로구,온수동,42083,90.0,472,"1"
"2011",마포구,용강동,51864,77.0,686,"1"
"2011",성동구,용답동,30793,72.0,429,"1"
"2011",동대문구,용두동,34804,64.0,561,"1"
"2011",용산구,용문동,61933,85.0,729,"1"
"2011",용산구,용산동2가,46100,78.0,590,"1"
"2011",용산구,용산동5가,163250,127.0,1269,"1"
"2011",서초구,우면동,55883,72.0,781,"1"
"2011",강북구,우이동,29704,78.0,385,"1"
"2011",용산구,원효로1가,79603,115.0,689,"1"
"2011",용산구,원효로2가,16000,28.0,571,"1"
"2011",용산구,원효로3가,34000,42.0,780,"1"
"2011",용산구,원효로4가,55409,74.0,750,"1"
"2011",노원구,월계동,26123,62.0,423,"1"
"2011",중구,을지로5가,35000,85.0,412,"1"
"2011",성동구,응봉동,43679,74.0,592,"1"
"2011",은평구,응암동,30693,76.0,412,"1"
"2011",동대문구,이문동,36312,77.0,482,"1"
"2011",용산구,이촌동,88246,97.0,921,"1"
"2011",용산구,이태원동,69157,101.0,687,"1"
"2011",종로구,익선동,22150,48.0,456,"1"
"2011",종로구,인의동,59800,109.0,539,"1"
"2011",중구,인현동2가,16833,42.0,398,"1"
"2011",강남구,일원동,74134,79.0,921,"1"
"2011",광진구,자양동,55046,84.0,650,"1"
"2011",송파구,잠실동,96627,84.0,1164,"1"
"2011",서초구,잠원동,83135,86.0,972,"1"
"2011",동대문구,장안동,37637,82.0,466,"1"
"2011",성북구,장위동,37790,80.0,478,"1"
"2011",송파구,장지동,53448,79.0,687,"1"
"2011",중구,장충동1가,300000,245.0,1226,"1"
"2011",중구,장충동2가,6800,31.0,218,"1"
"2011",동대문구,전농동,32140,75.0,437,"1"
"2011",중구,정동,32500,46.0,703,"1"
"2011",성북구,정릉동,30163,73.0,418,"1"
"2011",동대문구,제기동,35191,77.0,459,"1"
"2011",성북구,종암동,37138,77.0,483,"1"
"2011",노원구,중계동,31687,65.0,472,"1"
"2011",광진구,중곡동,29749,72.0,416,"1"
