건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2004,2011,돈암동,"25,000",이수브라운스톤돈암,1,0,22,84.97,636,11290,8
1998,2011,돈암동,"4,000",한진(609-1),1,90,23,84.87,609-1,11290,1
2004,2011,돈암동,"8,500",서라벌,1,0,24,35.17,7-15,11290,4
1998,2011,돈암동,"19,000",한신,1,0,24,68.13,609-1,11290,9
2004,2011,돈암동,"18,000",성일우리미,1,0,25,84.95,637,11290,9
1999,2011,돈암동,"19,500",돈암동 풍림아파트 101~105동,1,0,25,84.68,632,11290,8
1999,2011,돈암동,"2,652",돈암동풍림106동(임대),1,13,25,32.23,632-1,11290,7
2007,2011,돈암동,"17,000",돈암힐스테이트,1,0,25,59.38,639,11290,4
1991,2011,돈암동,"10,500",돈암현대아파트,1,0,25,41.58,1,11290,7
1998,2011,돈암동,"15,000",한진(609-1),1,0,26,59.58,609-1,11290,11
1991,2011,돈암동,"15,500",돈암현대아파트,1,0,28,56.7,1,11290,10
2004,2011,돈암동,"6,000",이수브라운스톤돈암,1,0,28,65.95,636,11290,2
2004,2011,돈암동,"23,000",이수브라운스톤돈암,1,0,30,84.97,636,11290,16
1998,2011,돈암동,"26,000",한진(609-1),1,0,31,132.96,609-1,11290,20
2007,2011,돈암동,"25,000",돈암힐스테이트,1,0,31,84.54,639,11290,4
1998,2011,동소문동4가,"15,000",송산아파트,1,0,20,58.59,279,11290,1
2006,2011,동소문동5가,"26,000",돈암동일하이빌,1,0,4,84.958,120,11290,12
2006,2011,동소문동5가,"25,000",돈암동일하이빌,1,0,5,84.849,120,11290,10
2006,2011,동소문동5가,"23,500",돈암동일하이빌,1,0,8,84.958,120,11290,13
2004,2011,동소문동7가,"24,000",한신플러스C,1,0,5,84.95,23,11290,8
2004,2011,동소문동7가,"10,000",한신플러스C,1,80,6,84.95,23,11290,9
2004,2011,동소문동7가,"26,000",한신플러스C,1,0,8,84.95,23,11290,6
2004,2011,동소문동7가,"23,000",한신플러스C,1,0,10,84.95,23,11290,6
2010,2011,동소문동7가,"2,000",브라운스톤동선,1,0,14,59.96,120,11290,11
2004,2011,동소문동7가,"24,000",한신플러스C,1,0,22,84.95,23,11290,13
2010,2011,동소문동7가,"25,000",브라운스톤동선,1,0,31,84.96,120,11290,6
2008,2011,삼선동2가,"28,500",삼선푸르지오,1,0,10,114.65,425,11290,7
2008,2011,삼선동2가,"18,000",삼선푸르지오,1,0,11,84.83,425,11290,4
2008,2011,삼선동2가,"23,000",삼선푸르지오,1,0,13,84.83,425,11290,7
2009,2011,삼선동2가,"15,500",삼선현대힐스테이트,1,0,29,56.83,420,11290,12
2008,2011,삼선동2가,"24,000",삼선푸르지오,1,0,30,84.84,425,11290,11
2008,2011,삼선동2가,"24,000",삼선푸르지오,1,0,31,84.84,425,11290,3
2008,2011,삼선동2가,"26,000",삼선푸르지오,1,0,31,84.84,425,11290,3
2008,2011,삼선동3가,"1,917",삼선1에스에이치빌,1,19,26,35.58,115,11290,14
1999,2011,삼선동4가,"13,000",코오롱,1,0,6,59.94,73,11290,16
1999,2011,삼선동4가,"18,000",코오롱,1,0,10,59.94,73,11290,15
1999,2011,삼선동4가,"18,000",코오롱,1,0,18,59.94,73,11290,1
2008,2011,동선동4가,"17,000",한양수자인,1,0,12,68.03,295-1,11290,12
2008,2011,동선동4가,"17,000",한양수자인,1,0,28,68.81,295-1,11290,12
2004,2011,동선동5가,"20,000",트라움하임,1,0,17,106.21,69-1,11290,4
2005,2011,안암동1가,"4,000",안암동삼성래미안,1,100,5,59.6983,361,11290,9
2005,2011,안암동1가,"23,500",안암동삼성래미안,1,0,5,84.8681,361,11290,10
2005,2011,안암동1가,"10,000",안암동삼성래미안,1,65,12,59.6983,361,11290,10
2005,2011,안암동1가,"3,000",안암동삼성래미안,1,110,22,59.6983,361,11290,9
2005,2011,안암동1가,"20,000",안암동삼성래미안,1,0,22,59.6983,361,11290,3
2005,2011,안암동1가,"25,000",안암동삼성래미안,1,0,30,84.8681,361,11290,7
1994,2011,보문동6가,"17,000",아남,1,0,24,84.9,36-2,11290,14
2003,2011,보문동3가,"3,000",현대I-PARK,1,110,15,59.65,2,11290,15
2003,2011,보문동3가,"20,500",현대I-PARK,1,0,18,59.49,2,11290,12
2003,2011,정릉동,300,대동황토방,1,10,1,114.89,1022,11290,11
1999,2011,정릉동,"12,000",정릉중앙하이츠아파트,1,0,2,59.26,809,11290,6
2005,2011,정릉동,"13,500",정릉풍림아이원,1,0,4,59.88,239,11290,14
2005,2011,정릉동,"16,500",정릉푸르지오,1,0,4,59.98,406,11290,5
2005,2011,정릉동,"14,000",정릉풍림아이원,1,0,4,59.88,239,11290,13
2006,2011,정릉동,"20,000",정릉e-편한세상,1,30,5,114.56,1028,11290,16
2001,2011,정릉동,"9,500",대우,1,0,5,43.11,1021,11290,1
2005,2011,정릉동,"4,000",정릉푸르지오,1,90,5,84.89,406,11290,13
2003,2011,정릉동,"16,000",정릉푸른마을동아,1,0,5,84.96,210,11290,5
2006,2011,정릉동,"10,000",정릉e-편한세상,1,45,5,59.77,1028,11290,3
1999,2011,정릉동,"15,000",경남,1,0,5,59.59,1015,11290,19
2008,2011,정릉동,"25,000",라온유,1,0,6,84.65,1034,11290,20
2007,2011,정릉동,"20,000",정릉힐스테이트1차,1,0,6,84.823,1030,11290,2
1999,2011,정릉동,"22,000",태영,1,0,6,114.76,1018,11290,16
1999,2011,정릉동,"15,000",경남,1,0,6,59.59,1015,11290,19
2005,2011,정릉동,"6,000",정릉푸르지오,1,70,7,59.98,406,11290,14
2008,2011,정릉동,"15,500",정릉2차대주피오레,1,0,7,59.9627,1032,11290,6
1999,2011,정릉동,"10,000",청구,1,0,7,59.04,1013,11290,7
2005,2011,정릉동,"5,000",정릉풍림아이원,1,70,7,60,239,11290,8
1999,2011,정릉동,"19,000",태영,1,0,7,114.76,1018,11290,17
2008,2011,정릉동,"21,000",라온유,1,0,7,84.65,1034,11290,4
2008,2011,정릉동,"21,000",라온유,1,0,8,84.65,1034,11290,11
2006,2011,정릉동,"16,000",정릉e-편한세상,1,0,8,59.77,1028,11290,3
1999,2011,정릉동,"13,000",경남,1,0,8,50.45,1015,11290,15
1999,2011,정릉동,"14,500",경남,1,0,8,59.59,1015,11290,1
2004,2011,정릉동,"14,000",정릉하이츠빌1단지,1,0,9,59.98,494,11290,3
2003,2011,정릉동,"17,000",정릉푸른마을동아,1,0,10,84.96,210,11290,5
2004,2011,정릉동,"18,000",정릉하이츠빌1단지,1,0,10,84.98,494,11290,16
2005,2011,정릉동,"14,000",정릉풍림아이원,1,0,11,59.88,239,11290,1
2009,2011,정릉동,"16,000",우정에쉐르,1,0,11,84.97,1033,11290,13
2005,2011,정릉동,"18,000",정릉풍림아이원,1,0,11,84.09,239,11290,5
