°Å·¡±Ý¾×,°ÇÃà³âµµ,³â,´ëÁö±Ç¸éÀû,¹ýÁ¤µ¿,¿¬¸³´Ù¼¼´ë,¿ù,ÀÏ,Àü¿ë¸éÀû,Áö¹ø,Áö¿ªÄÚµå,Ãþ
"15,000",1993,2010,32.9,Ãµ¿¬µ¿,(120-32),1,7,51.74,120-32,11410,2
"35,000",1993,2010,34.32,ºÏ¾ÆÇöµ¿,¿ì½Åºô¶ó8Â÷,1,4,65.03,3-212,11410,2
"34,000",1999,2010,34.7,ºÏ¾ÆÇöµ¿,(129-75),1,9,78.48,129-75,11410,6
"34,000",1998,2010,42.75,ºÏ¾ÆÇöµ¿,¾Æ¸²ºô¶ó,1,11,70.24,123-67,11410,1
"24,000",1994,2010,35.61,ºÏ¾ÆÇöµ¿,Çö´ëÈÑ¹Ì¸®ºô¶ó,1,18,62.37,1-657,11410,2
"23,500",2003,2010,24.36,ºÏ¾ÆÇöµ¿,¹Ì°¡ºô,1,20,44.2,1-111,11410,1
"17,000",1970,2010,14.2,ºÏ¾ÆÇöµ¿,(770-7),1,22,15.4,770-7,11410,2
"34,000",2003,2010,32.4,ºÏ¾ÆÇöµ¿,(123-52),1,25,52.86,123-52,11410,3
"51,000",1991,2010,92.02,ºÏ¾ÆÇöµ¿,Á¤¸²ÆÄÅ©,1,25,144.54,1-327,11410,1
"34,000",2003,2010,32.4,ºÏ¾ÆÇöµ¿,(123-52),1,25,52.86,123-52,11410,3
"40,000",2001,2010,42.42,ºÏ¾ÆÇöµ¿,Áø¿µ¾ÆÆ®ºô,1,25,69.93,123-75,11410,2
"35,800",2001,2010,47.13,ºÏ¾ÆÇöµ¿,½ºÀ§½º±×¸°ºô,1,26,76.29,3-211,11410,5
"34,000",2003,2010,31.7,ºÏ¾ÆÇöµ¿,(123-52),1,27,51.59,123-52,11410,5
"35,000",1993,2010,15.99,ºÏ¾ÆÇöµ¿,(123-21),1,29,84.79,123-21,11410,3
"28,000",2007,2010,40.41,È«Á¦µ¿,¿¡¶ß¾Ëºô¶óÆ®,1,2,74.25,267-69,11410,4
"10,600",1991,2010,19.75,È«Á¦µ¿,ÃÊµ¿ºô¶ó,1,6,49.97,360-96,11410,1
"23,000",2008,2010,35.41,È«Á¦µ¿,(122-38),1,7,49.92,122-38,11410,2
"24,800",2008,2010,48.58,È«Á¦µ¿,¼¼Á¾¾ÆÆ®ºô,1,9,77.76,5-107,11410,3
"10,300",1987,2010,33.3,È«Á¦µ¿,(6-135),1,13,48.97,6-135,11410,2
"17,200",2003,2010,29.96,È«Á¦µ¿,À¯°æºô¶ó,1,19,54.98,278-21,11410,5
"19,750",1994,2010,32.45,È«Á¦µ¿,±¤ÀÏºô¶ó,1,22,59.76,349-1,11410,3
"10,300",1996,2010,26.01,È«Á¦µ¿,Èù±¹ÇüÁÖÅÃ,1,23,46.61,360-50,11410,2
"14,000",1987,2010,44.11,È«Á¦µ¿,¼­°­ºô¶ó2µ¿,1,25,48.01,90-6,11410,3
"17,000",1994,2010,32.83,È«Á¦µ¿,±¤ÀÏºô¶ó,1,29,60.48,349-1,11410,4
"13,000",1997,2010,24.2,È«Á¦µ¿,(361-12),1,30,46.36,361-12,11410,-1
"14,000",1982,2010,23.16,Ã¢Ãµµ¿,(4-118),1,6,45.62,4-118,11410,-1
"10,000",2001,2010,11.658,Ã¢Ãµµ¿,ºí·çÈú,1,27,23.02,100-124,11410,1
"14,000",1993,2010,44.4,¿¬Èñµ¿,¸íÁöÁÖÅÃ,1,8,47.16,721-8,11410,2
"24,500",1991,2010,77.11,¿¬Èñµ¿,¿¬ÈñÆÄÅ©(200-120),1,8,65.13,200-120,11410,1
"15,000",1993,2010,40.66,¿¬Èñµ¿,¿¬Èñºô¶ó(51-0),1,11,82.17,51,11410,2
"25,000",1996,2010,38.31,¿¬Èñµ¿,½ÅÁøºô¶ó,1,15,76.68,45-20,11410,4
"11,500",1986,2010,26.73,¿¬Èñµ¿,µ¿ÁøÁÖÅÃ2µ¿,1,15,37.71,142-30,11410,1
"15,100",2003,2010,23.48,¿¬Èñµ¿,ÆÓ¸®½ººô,1,19,43.23,723-10,11410,4
"17,000",1993,2010,27.53,¿¬Èñµ¿,(519-123),1,21,57.54,519-123,11410,-1
"26,000",2008,2010,49.69,¿¬Èñµ¿,¼º¿î,1,23,73.13,290-2,11410,3
"11,500",1986,2010,26.73,¿¬Èñµ¿,µ¿ÁøÁÖÅÃ2µ¿,1,25,37.71,142-30,11410,1
"19,000",1996,2010,26.46,¿¬Èñµ¿,»óÁöÁÖÅÃ,1,25,59.72,»ê118-57,11410,1
"20,000",1997,2010,25.7,¿¬Èñµ¿,µÎ·¹ÁÖÅÃ3,1,25,59.82,519-63,11410,1
"26,000",2008,2010,49.69,¿¬Èñµ¿,¼º¿î,1,26,73.13,290-2,11410,2
"24,500",1985,2010,59.83,¿¬Èñµ¿,µ¿Áøºô¶ó,1,27,45.96,141-34,11410,1
"16,000",2001,2010,26.263,¿¬Èñµ¿,¿¬Èï°¡³ª¾Èºô¶ó(520-120),1,28,59.53,520-120,11410,3
"17,000",2000,2010,19.8,¿¬Èñµ¿,¿¬Èï°¡³ª¾Èºô¶ó(520-110),1,29,59.87,520-110,11410,4
"21,750",1990,2010,35.478,¿¬Èñµ¿,(193-21),1,29,63.24,193-21,11410,2
"16,500",1986,2010,37,¿¬Èñµ¿,(519-33),1,29,47.85,519-33,11410,2
"11,500",1994,2010,16.01,È«Àºµ¿,¹é³â(338-27),1,8,31.01,338-27,11410,-1
"8,000",1986,2010,27.77,È«Àºµ¿,(9-229),1,11,44.14,9-229,11410,-1
"36,700",2003,2010,46.25,È«Àºµ¿,ÁøÈ­¾ÆÆ®,1,15,83.88,325-33,11410,3
"7,000",1997,2010,14.23,È«Àºµ¿,ÈúÅ¸¿î,1,15,23.03,265-288,11410,1
"18,000",1986,2010,38.56,È«Àºµ¿,ÃÊ¿øÁÖÅÃ,1,15,51.48,408-21,11410,-1
"21,500",2004,2010,35.04,È«Àºµ¿,´ö¾ç¾ÆÆ®ºô,1,17,59.58,407-16,11410,4
"17,700",1993,2010,27.55,È«Àºµ¿,"µ¿¾çºô¶ó(°¡,³ªµ¿)(17-4)",1,19,59.43,9-798,11410,1
"24,000",1993,2010,37,È«Àºµ¿,Çö´ë¾ÆÆ®ºô¶ó,1,20,84.64,265-230,11410,4
"10,500",1987,2010,27.66,È«Àºµ¿,(8-444),1,21,39.53,8-444,11410,1
"10,200",1991,2010,34.1,È«Àºµ¿,Ã»¹Ìºô¶ó(Bµ¿),1,22,44.79,189-2,11410,2
"9,000",1987,2010,44.8,È«Àºµ¿,±ÝÈ£ÁÖÅÃ-¿¡ÀÌµ¿,1,23,49.38,354-6,11410,-1
"13,000",1987,2010,22.62,È«Àºµ¿,¿¬ÈñÁÖÅÃ-¶óµ¿,1,23,35.95,294-52,11410,2
"8,000",1994,2010,18.25,È«Àºµ¿,¼ºÁøºô¶ó,1,23,42.39,195-5,11410,4
"24,500",2003,2010,39.29,È«Àºµ¿,¹é¼ÛÇÏÀÌÃ÷,1,24,78.12,396-39,11410,4
"20,000",2001,2010,47.86,È«Àºµ¿,·Î¾âºô¶ó,1,25,83.73,188-11,11410,3
"8,400",1991,2010,30.91,È«Àºµ¿,´ÃÇÏ´Ã1Â÷,1,25,52.25,265-190,11410,1
"19,500",2009,2010,30.84,È«Àºµ¿,¸íÁøÇÏÀÌºô2Â÷,1,26,60.64,396-37,11410,5
"9,950",1973,2010,18.47,È«Àºµ¿,È«Àººô¶ó(9-534),1,27,23.14,9-534,11410,2
"20,200",2003,2010,32.9,È«Àºµ¿,Ã»»ê,1,29,58.54,411-9,11410,2
"18,500",2006,2010,33.78,È«Àºµ¿,¹é¼®ºô¶ó,1,29,70.75,8-427,11410,2
"16,300",2002,2010,22.95,È«Àºµ¿,Çö´ëÇÏ´Ïºô,1,30,49.14,397-6,11410,1
"23,000",2005,2010,38.213,È«Àºµ¿,¿¥È­ÀÏºô¶óÆ®-¿¡ÀÌ,1,30,66.87,394-10,11410,4
"24,500",1982,2010,51.765,ºÏ°¡ÁÂµ¿,½ÅÃÌ(Aµ¿),1,2,67.93,370-8,11410,2
"11,000",1986,2010,27.18,ºÏ°¡ÁÂµ¿,(369-26),1,4,40.68,369-26,11410,1
"20,800",2009,2010,29.76,ºÏ°¡ÁÂµ¿,ÇÑ¾ç¾ÆÆ®ºô(328-46),1,5,54.49,328-46,11410,3
"13,500",1986,2010,28.32,ºÏ°¡ÁÂµ¿,ÀÓÃ¢ºô¶ó(Dµ¿),1,6,36.58,324-45,11410,1
"18,300",1992,2010,20.64,ºÏ°¡ÁÂµ¿,¼ÛÀçºô¶ó,1,10,48.3,350-13,11410,4
"19,000",1996,2010,21.42,ºÏ°¡ÁÂµ¿,¹é¸í±×¸°Å¸¿î(°¡),1,10,46.04,310-31,11410,2
"16,500",2008,2010,20.08,ºÏ°¡ÁÂµ¿,µ¿È­ºô¶ó2Â÷,1,10,35.73,3-106,11410,5
"17,000",2009,2010,23.15,ºÏ°¡ÁÂµ¿,ÇÑ¾ç¾ÆÆ®ºô(328-46),1,10,40.63,328-46,11410,4
"22,000",2003,2010,31.9,ºÏ°¡ÁÂµ¿,µ¿È­ºô¶ó,1,10,56.28,340-8,11410,2
"17,000",2004,2010,23.48,ºÏ°¡ÁÂµ¿,¸ñÀÎºô¸®Áö,1,11,33.36,368-3,11410,4
"13,500",1993,2010,16.9,ºÏ°¡ÁÂµ¿,(380-8),1,13,36.18,380-8,11410,-1
"22,000",1994,2010,29.19,ºÏ°¡ÁÂµ¿,´ëµ¿¾ÆÆ®¸Ç¼Ç,1,16,59.78,374-2,11410,1
"18,300",1995,2010,35.63,ºÏ°¡ÁÂµ¿,¹é¸íÇÏÀÌÃ÷ºô¶ó(6-9),1,16,61.47,6-9,11410,2
"12,500",1986,2010,20.16,ºÏ°¡ÁÂµ¿,(342-17),1,17,34.92,342-17,11410,1
"16,500",2006,2010,20.85,ºÏ°¡ÁÂµ¿,µå¸²ºô(376-4),1,18,32.85,376-4,11410,3
"21,000",2002,2010,27.84,ºÏ°¡ÁÂµ¿,µ¿È­ºô¶ó2Â÷(277-19),1,18,60.76,277-19,11410,2
"16,500",1992,2010,17,ºÏ°¡ÁÂµ¿,ÅÂ¾ç¾ÆÆ®ºô¶ó,1,18,32.91,75-139,11410,-1
"15,950",2004,2010,17.45,ºÏ°¡ÁÂµ¿,½ÅÁ¤ºô¶óBµ¿,1,19,30.06,321-10,11410,3
"23,000",1991,2010,21.97,ºÏ°¡ÁÂµ¿,¸íÁøºô¶ó,1,19,41.43,305-12,11410,2
"21,200",2008,2010,21.326,ºÏ°¡ÁÂµ¿,LGºô¶ó(328-29),1,19,76.18,328-29,11410,5
"19,800",2009,2010,29.76,ºÏ°¡ÁÂµ¿,ÇÑ¾ç¾ÆÆ®ºô(328-46),1,21,54.49,328-46,11410,2
"32,000",1990,2010,73.54,ºÏ°¡ÁÂµ¿,À¯È­ºô¸®Áö,1,22,94.89,341-17,11410,3
"20,000",1991,2010,34.89,ºÏ°¡ÁÂµ¿,(273-1),1,22,72.21,273-1,11410,4
"15,000",1998,2010,21.86,ºÏ°¡ÁÂµ¿,¿¹¿øºô¶óÆ®,1,22,49.36,315-1,11410,-1
"25,900",2009,2010,33.58,ºÏ°¡ÁÂµ¿,À¯´ÏÄ³½½,1,23,66.37,277-31,11410,2
"18,000",2007,2010,19.87,ºÏ°¡ÁÂµ¿,¿µ±¤ºô¶ó,1,23,31.22,383-13,11410,4
"21,000",2004,2010,24.88,ºÏ°¡ÁÂµ¿,¸ñÀÎºô¸®Áö,1,23,35.35,368-3,11410,2
"22,300",2003,2010,23.69,ºÏ°¡ÁÂµ¿,ÇÑ¾çºô¶ó(366-9),1,24,46.48,366-9,11410,3
"18,500",2009,2010,27.61,ºÏ°¡ÁÂµ¿,½ÅÀÏ¾ÆÆ®ºô,1,25,48.3,277-6,11410,4
"14,000",1992,2010,20.43,ºÏ°¡ÁÂµ¿,»ï±âºô¶ó(315-28),1,25,44.1,315-28,11410,-1
"18,000",1991,2010,21.8,ºÏ°¡ÁÂµ¿,½Å¾Èºô¶ó(349-32),1,26,46.9,349-32,11410,-1
"23,400",2004,2010,28.05,ºÏ°¡ÁÂµ¿,ÇÑ¾ç¾ÆÆ®ºô(313-3),1,27,50.7,313-3,11410,5
"15,500",1994,2010,17.42,ºÏ°¡ÁÂµ¿,(383-10),1,27,31.37,383-10,11410,3
"19,500",2001,2010,23.4,ºÏ°¡ÁÂµ¿,¿¹¿øºô¶ó,1,27,52.96,328-6,11410,1
"21,700",2002,2010,26.26,ºÏ°¡ÁÂµ¿,ÇÑ¾Æ¸§ºô¶ó,1,29,50.97,80-142,11410,4
"17,500",1995,2010,35.57,ºÏ°¡ÁÂµ¿,¹é¸íÇÏÀÌÃ÷ºô¶ó(6-9),1,30,61.38,6-9,11410,3
"25,500",2002,2010,21.03,³²°¡ÁÂµ¿,ÇÏÀÌºô¶ó,1,20,56.14,353-5,11410,5
"19,950",2003,2010,20,³²°¡ÁÂµ¿,¼öÇÏ¿ì½º,1,23,38.17,367-5,11410,1
"12,000",1998,2010,29.2,³²°¡ÁÂµ¿,¿øÀÌºô¶ó,1,25,60.33,338-36,11410,-1
"22,100",1995,2010,20.02,³²°¡ÁÂµ¿,¼­±¸ÇÏÀÌÃ÷,1,30,42.87,155-138,11410,1
"17,000",1991,2010,23.38,³²°¡ÁÂµ¿,(360-18),1,30,43.14,360-18,11410,1
"21,000",1992,2010,23.12,ÃæÁ¤·Î3°¡,(31-34),2,1,31.35,31-34,11410,-1
"18,500",2006,2010,19,ÃæÁ¤·Î3°¡,(3-363),2,2,31.82,3-363,11410,5
"35,000",1987,2010,45.06,ÃæÁ¤·Î3°¡,(3-67),2,4,56.18,3-67,11410,-1
"35,000",2002,2010,27.69,ÃæÁ¤·Î3°¡,¿¤Áöºô¸®Áö,2,22,74.98,3-90,11410,4
"13,850",1988,2010,24.88,¿ÁÃµµ¿,(126-129),2,9,31.6,126-129,11410,1
"19,000",2005,2010,28,¿ÁÃµµ¿,»ïÈ£ºô¶ó,2,27,33.81,45-5,11410,4
"16,500",2005,2010,23.77,¿ÁÃµµ¿,»ïÈ£ºô¶ó,2,27,28.71,45-5,11410,2
"24,000",1994,2010,21.75,ºÏ¾ÆÇöµ¿,ÆòÈ­ºô¶ó,2,1,54.84,1-270,11410,2
"37,000",2001,2010,45.17,ºÏ¾ÆÇöµ¿,¿ùµåºô¶ó,2,1,77.19,123-76,11410,3
"15,700",2004,2010,11.1,ºÏ¾ÆÇöµ¿,(1-224),2,3,19.76,1-224,11410,3
"28,000",1998,2010,31.91,ºÏ¾ÆÇöµ¿,(1-85),2,4,59.76,1-85,11410,2
"37,500",2000,2010,42.56,ºÏ¾ÆÇöµ¿,Çö´ëºô¶óÆ®,2,11,75.01,123-74,11410,3
"23,000",2000,2010,17.16,ºÏ¾ÆÇöµ¿,ÆÄÀÎºô¶ó,2,16,28.96,123-82,11410,2
"32,000",2003,2010,39.04,ºÏ¾ÆÇöµ¿,¼ºÁÖºô¶ó3Â÷,2,18,73.24,115-26,11410,1
"17,500",2003,2010,33.32,ºÏ¾ÆÇöµ¿,°ñµçÈú,2,22,59.18,1-1212,11410,1
"17,500",2003,2010,30.76,ºÏ¾ÆÇöµ¿,°ñµçÈú,2,22,54.58,1-1212,11410,4
"20,000",1992,2010,52.7,ºÏ¾ÆÇöµ¿,¿ì½Åºô¶ó7Â÷,2,27,75.33,1-1377,11410,-1
"23,400",1993,2010,40.18,È«Á¦µ¿,ÇØÁÖºô¶ó,2,2,72,267-6,11410,3
"23,700",2001,2010,30.8,È«Á¦µ¿,Àå¼ºÄÉÀÌ¾¾ºô,2,3,61.84,158-17,11410,3
"15,500",1991,2010,19.75,È«Á¦µ¿,ÃÊµ¿ºô¶ó,2,9,49.97,360-96,11410,1
"24,500",1997,2010,41.71,È«Á¦µ¿,µ¿ÀÏºô¶óÆ®Bµ¿,2,10,76.71,313-24,11410,3
"16,000",1991,2010,24.57,È«Á¦µ¿,¾È»êºô¶ó,2,10,58.89,47-25,11410,4
"27,000",2008,2010,34.608,È«Á¦µ¿,(123-6),2,17,65.26,123-6,11410,3
"13,250",1975,2010,29.78,È«Á¦µ¿,(361-93),2,19,52.73,361-93,11410,2
"9,500",1965,2010,20.6,È«Á¦µ¿,È«Á¦,2,20,21.55,312-35,11410,2
"15,000",1987,2010,32.91,È«Á¦µ¿,±Ý°­ºô¶ó,2,23,34.47,9-75,11410,2
"18,500",1987,2010,27.03,È«Á¦µ¿,(44-43),2,23,33.86,44-43,11410,1
"11,000",1978,2010,69.9987,È«Á¦µ¿,Àº¼ººô¶ó(5-1),2,23,64.13,5-1,11410,1
"15,000",1991,2010,28.68,È«Á¦µ¿,³«¿øÇÏ¿ì½º(341-2),2,25,53.76,341-2,11410,1
"28,000",2002,2010,42.26,È«Á¦µ¿,½á´Ïºô,2,26,69.06,122-2,11410,3
"20,000",1996,2010,29.92,È«Á¦µ¿,Çö´ë(321-1),2,27,79.47,321-1,11410,-1
"12,500",1990,2010,26.86,È«Á¦µ¿,»ïÈ­ºô¶ó,2,27,44.82,312-28,11410,2
"22,000",2009,2010,32.24,È«Á¦µ¿,¼¼¹ÎÇÏÀÌÆÄÅ©,2,28,55.51,5-8,11410,3
"10,000",2001,2010,11.658,Ã¢Ãµµ¿,ºí·çÈú,2,7,23.02,100-124,11410,3
"13,700",2002,2010,21,¿¬Èñµ¿,¸®Ä¡ºô,2,1,35.68,88-25,11410,2
"30,000",2004,2010,99.7,¿¬Èñµ¿,È­ÀÎÄ³½½,2,1,83.74,132-58,11410,2
"18,000",1996,2010,26.42,¿¬Èñµ¿,»óÁöÁÖÅÃ,2,1,59.64,»ê118-57,11410,1
"13,000",1991,2010,29.45,¿¬Èñµ¿,¸ð°æÅ¸¿î,2,5,50.79,1-19,11410,3
"26,600",2008,2010,50.24,¿¬Èñµ¿,¼º¿î,2,5,73.94,290-2,11410,2
"6,500",1991,2010,16.67,¿¬Èñµ¿,´ëÇÏºô¶ó,2,8,32.82,170-120,11410,-1
"14,500",1986,2010,23.43,¿¬Èñµ¿,¿¬¹éºô¶ó,2,10,37.62,723-24,11410,1
"17,800",1995,2010,34.88,¿¬Èñµ¿,Èï·ûºô¶ó,2,16,52.27,45-3,11410,1
"25,000",2006,2010,39.89,¿¬Èñµ¿,À¯Áöºô,2,16,84.81,520-117,11410,4
"7,500",1991,2010,19.75,¿¬Èñµ¿,(156-9),2,19,42.14,156-9,11410,2
"7,500",1991,2010,19.75,¿¬Èñµ¿,(156-9),2,19,42.14,156-9,11410,1
"13,200",1982,2010,40.17,¿¬Èñµ¿,(705-4),2,19,41.65,705-4,11410,1
"10,500",1989,2010,35.84,¿¬Èñµ¿,È¿µ¿ºô¶ó¿¡ÀÌµ¿,2,20,35.94,1-100,11410,-1
"18,000",1984,2010,14.58,¿¬Èñµ¿,(6-56),2,20,57.75,6-56,11410,2
"20,000",1976,2010,91,¿¬Èñµ¿,(444-100),2,22,54.05,444-100,11410,1
"15,500",1999,2010,13.78,¿¬Èñµ¿,(519-70),2,24,32.28,519-70,11410,1
"25,000",1992,2010,53.57,¿¬Èñµ¿,°ÅÆòºô¶ó,2,24,84,186-4,11410,4
"20,000",1992,2010,37.37,¿¬Èñµ¿,¹Ì´öºô¶ó,2,25,71.42,344-134,11410,2
"6,700",1997,2010,12.06,¿¬Èñµ¿,º¸¼ººô¶ó,2,26,24.57,187-120,11410,2
"30,400",1994,2010,74.75,¿¬Èñµ¿,¸í¼ººô¶ó(446-169),2,26,107.59,446-169,11410,4
"8,000",1986,2010,25.86,¿¬Èñµ¿,Å©·Î¹ÙÁÖÅÃCµ¿,2,27,35.95,727-10,11410,-1
"16,000",2003,2010,33.97,¿¬Èñµ¿,·º½ººô,2,28,68.85,91-17,11410,-1
"15,000",1992,2010,20.95,È«Àºµ¿,¹«Áö°³,2,1,39.74,338-73,11410,3
"11,000",1990,2010,23.67,È«Àºµ¿,ÇöÀÏ,2,1,35.5,402-12,11410,-1
"7,450",1991,2010,28.38,È«Àºµ¿,È«Àº±×¸°ÆÄÅ©ºô¶ó(ÀÚµ¿),2,3,41.44,265-213,11410,1
"24,000",1993,2010,31.83,È«Àºµ¿,µ¿ÀÎºô¶ó,2,4,69.01,268-15,11410,3
"30,000",2003,2010,58.5,È«Àºµ¿,(400-17),2,5,69.99,400-17,11410,3
"6,000",2003,2010,13.16,È«Àºµ¿,(400-17),2,5,22.88,400-17,11410,1
"6,000",2003,2010,12.86,È«Àºµ¿,(400-17),2,5,22.35,400-17,11410,1
"6,000",2003,2010,12.92,È«Àºµ¿,(400-17),2,5,22.46,400-17,11410,1
"6,000",2003,2010,12.92,È«Àºµ¿,(400-17),2,5,22.46,400-17,11410,2
"6,000",2003,2010,13.16,È«Àºµ¿,(400-17),2,5,22.88,400-17,11410,2
"6,000",2003,2010,13.16,È«Àºµ¿,(400-17),2,5,22.88,400-17,11410,2
"6,000",2003,2010,12.92,È«Àºµ¿,(400-17),2,5,22.46,400-17,11410,2
"14,500",2003,2010,32.96,È«Àºµ¿,(400-17),2,5,43.83,400-17,11410,4
"6,000",2003,2010,12.92,È«Àºµ¿,(400-17),2,5,22.46,400-17,11410,1
"6,000",2003,2010,13.16,È«Àºµ¿,(400-17),2,5,22.88,400-17,11410,1
"6,000",2003,2010,12.86,È«Àºµ¿,(400-17),2,5,22.35,400-17,11410,2
"11,376",1986,2010,64.63,È«Àºµ¿,(321-9),2,7,71.54,321-9,11410,2
"10,124",1986,2010,64.63,È«Àºµ¿,(321-9),2,7,71.54,321-9,11410,1
"8,500",1995,2010,19.64,È«Àºµ¿,(405-15),2,9,40.02,405-15,11410,-1
"39,500",2003,2010,46.25,È«Àºµ¿,ÁøÈ­¾ÆÆ®,2,10,83.88,325-33,11410,4
"22,500",2009,2010,33.69,È«Àºµ¿,¸íÁøÇÏÀÌºô2Â÷,2,11,66.24,396-37,11410,3
"34,300",2009,2010,39.7,È«Àºµ¿,(277-123),2,12,78.61,277-123,11410,3
"6,000",1990,2010,35.28,È«Àºµ¿,¹ÌÁøºô¶ó(2µ¿),2,15,40.93,188-1,11410,1
"7,500",1992,2010,27.83,È«Àºµ¿,¼º¿øºô¶ó,2,16,61.83,265-151,11410,-1
"14,000",1991,2010,32.63,È«Àºµ¿,¼­±¤¸Ç¼Ç,2,16,68.19,265-128,11410,1
"11,700",1994,2010,42.2,È«Àºµ¿,´ëÁøÇÏÀÌÃ÷ºô¶ó(Cµ¿),2,17,57.06,7,11410,1
"11,700",1994,2010,42.2,È«Àºµ¿,´ëÁøÇÏÀÌÃ÷ºô¶ó(Cµ¿),2,17,57.06,7,11410,3
"21,200",1985,2010,71.87,È«Àºµ¿,»ï¼ººô¶ó,2,18,84.51,188-29,11410,3
"11,000",1991,2010,32.63,È«Àºµ¿,¼­±¤¸Ç¼Ç,2,18,68.19,265-128,11410,4
"9,500",1985,2010,27.5,È«Àºµ¿,(265-446),2,20,40.26,265-446,11410,2
"11,700",1986,2010,32.11,È«Àºµ¿,¹Ì¼ººô¶ó(2µ¿),2,20,50.73,188-4,11410,1
"28,000",2009,2010,30.98,È«Àºµ¿,ÃµÁöÀÎ(Æç¸®Ã¼),2,21,68.94,164,11410,7
"17,800",1997,2010,31.46,È«Àºµ¿,Á¤¾È(338-81),2,22,64.98,338-81,11410,-1
"12,000",1993,2010,26.2,È«Àºµ¿,Ã»¿ì,2,23,50.13,338-102,11410,1
"12,900",1993,2010,27.37,È«Àºµ¿,Ã»¿ì,2,23,52.38,338-102,11410,1
"9,200",1994,2010,22.36,È«Àºµ¿,Çö´ëºô¸®Áö,2,23,46.25,217-22,11410,-1
"14,100",1996,2010,35,È«Àºµ¿,¼­°­ºô¶ó,2,26,58.5,191-68,11410,4
"9,000",1985,2010,30,È«Àºµ¿,(9-190),2,27,44.26,9-190,11410,2
"15,500",1993,2010,18.67,ºÏ°¡ÁÂµ¿,¹é»ê±×·£Æ®ºô¶ó,2,1,38.97,298-4,11410,1
"16,000",2010,2010,24.79,ºÏ°¡ÁÂµ¿,¿µÁÖ¾ÆÆ®ºô(274-17),2,2,43.53,274-17,11410,3
"18,000",1986,2010,27.5,ºÏ°¡ÁÂµ¿,(74-175),2,3,37.05,74-175,11410,-1
"22,500",1991,2010,36.6,ºÏ°¡ÁÂµ¿,ÀÎ¼ººô¸®ÁöA,2,4,60.57,296-28,11410,3
"19,500",2007,2010,41.8,ºÏ°¡ÁÂµ¿,½Å¿ìÇÏÀÌÃ÷,2,5,71.14,276-11,11410,2
"25,000",2006,2010,37.95,ºÏ°¡ÁÂµ¿,±¤¸íºô¶ó,2,6,73.95,383-15,11410,-1
"18,800",2009,2010,27.61,ºÏ°¡ÁÂµ¿,½ÅÀÏ¾ÆÆ®ºô,2,8,48.3,277-6,11410,4
"23,000",2002,2010,32.58,ºÏ°¡ÁÂµ¿,¼­°æÆÛ½ºÆ®ºô,2,8,50.8,286-14,11410,4
"20,000",2003,2010,26.5,ºÏ°¡ÁÂµ¿,¹Ì¸²Å¸¿î(³ªAµ¿),2,10,52.33,296-22,11410,5
"22,000",2006,2010,28.26,ºÏ°¡ÁÂµ¿,ÇÑ¾ç¾ÆÆ®ºô,2,10,49.69,347-20,11410,3
"14,700",1993,2010,28.07,ºÏ°¡ÁÂµ¿,(2-62),2,10,49.39,2-62,11410,4
"19,000",2009,2010,27.61,ºÏ°¡ÁÂµ¿,½ÅÀÏ¾ÆÆ®ºô,2,11,48.3,277-6,11410,3
"23,000",1977,2010,50.7,ºÏ°¡ÁÂµ¿,(324-6),2,16,58.08,324-6,11410,1
"19,500",2002,2010,28.84,ºÏ°¡ÁÂµ¿,¸íÁöºô¶óÆ®,2,16,53.52,325-4,11410,4
"17,500",2002,2010,40.02,ºÏ°¡ÁÂµ¿,¸íÁöÈúÇÏ¿ì½º,2,16,83.46,3-110,11410,1
"12,000",1994,2010,20.77,ºÏ°¡ÁÂµ¿,»ïÈ¯Ã»¼Ûºô¶ó,2,16,53.24,279-17,11410,1
"25,000",2002,2010,30.33,ºÏ°¡ÁÂµ¿,µ¿¹®ÆÄÅ©ºô(B),2,17,60.84,290-22,11410,2
"16,500",1993,2010,15.88,ºÏ°¡ÁÂµ¿,½Å¾Èºô¶ó,2,17,39.85,75-25,11410,-1
"23,500",2002,2010,34.62,ºÏ°¡ÁÂµ¿,Çö´ë¾ÆÆ®ºô,2,18,60.3,295-34,11410,4
"19,800",1997,2010,31.64,ºÏ°¡ÁÂµ¿,Ãæ¿ìÁÖÅÃ,2,19,56.1,332-4,11410,1
"20,500",1986,2010,27,ºÏ°¡ÁÂµ¿,(74-43),2,19,37.44,74-43,11410,-1
"17,500",1991,2010,17.58,ºÏ°¡ÁÂµ¿,ÇÑ¾çºô¶ó(80-22),2,20,34.32,80-22,11410,3
"22,000",2009,2010,30.67,ºÏ°¡ÁÂµ¿,À¯´ÏÄ³½½,2,20,60.62,277-31,11410,4
"9,950",1986,2010,25.8,ºÏ°¡ÁÂµ¿,¿¬Èñºô¶ó(3-46),2,22,39.68,3-46,11410,2
"13,200",2008,2010,19.32,ºÏ°¡ÁÂµ¿,ÀÌ¾È½¦¸£ºô(7Â÷),2,23,37.87,3-86,11410,4
"15,000",1997,2010,21.96,ºÏ°¡ÁÂµ¿,Á¦ÀÏºô¶ó,2,24,48.81,277-21,11410,3
"16,000",2003,2010,21.83,ºÏ°¡ÁÂµ¿,¸ùÅä·°½ººô,2,25,37.65,296-25,11410,4
"19,500",2008,2010,35.93,ºÏ°¡ÁÂµ¿,LGºô¶ó(276-5),2,25,63.27,276-5,11410,5
