°ÇÃà³âµµ,³â,¹ýÁ¤µ¿,º¸Áõ±Ý¾×,¿¬¸³´Ù¼¼´ë,¿ù,¿ù¼¼±Ý¾×,ÀÏ,Àü¿ë¸éÀû,Áö¹ø,Áö¿ªÄÚµå,Ãþ
1993,2011,¿¬Èñµ¿,"12,000",Áø¸íºô¶ó,1,0,27,62.07,305-3,11410,
2004,2011,¿¬Èñµ¿,"2,000",Ã¢¼ºÇÏ¿ì½º,1,45,27,26.91,287-16,11410,2
2011,2011,¿¬Èñµ¿,"8,500",(304-1),1,0,28,29.68,304-1,11410,3
1993,2011,¿¬Èñµ¿,"27,500",Çö´ëºô¶ó,1,0,30,128.19,436-4,11410,1
1991,2011,È«Àºµ¿,"4,500",¿ìÁøºô¶ó(265-124),1,0,4,59.35,265-124,11410,2
2006,2011,È«Àºµ¿,"13,000",È«Àº·º½ººô2Â÷,1,0,6,72.99,191-40,11410,2
1991,2011,È«Àºµ¿,"3,000",ÇÏ³ª,1,30,7,79.86,295-16,11410,
1993,2011,È«Àºµ¿,"12,000",½ºÀ§½ººô¸®Áö,1,0,10,84.24,208-2,11410,2
2004,2011,È«Àºµ¿,"10,000",´ö¾ç¾ÆÆ®ºô,1,0,11,43.32,407-16,11410,3
1979,2011,È«Àºµ¿,"3,000",(437-4),1,15,13,56.53,437-4,11410,2
1993,2011,È«Àºµ¿,"6,000",´ë¼º¾ÆÆ®,1,0,14,35.31,402-33,11410,1
1989,2011,È«Àºµ¿,"4,500",Ã»¾Ï¾ÆÆ®È¦,1,0,15,62.15,8-1093,11410,4
1989,2011,È«Àºµ¿,700,Ã»¾Ï¾ÆÆ®È¦,1,15,19,58.5,8-1093,11410,2
2003,2011,È«Àºµ¿,500,(400-17),1,40,19,22.46,400-17,11410,1
1991,2011,È«Àºµ¿,"2,500",¿¹¿ø±×¸°,1,20,19,39.66,412-11,11410,
1987,2011,È«Àºµ¿,"8,500",±ÝÈ£ÁÖÅÃ-¾¾µ¿,1,0,21,51.885,354-8,11410,2
1987,2011,È«Àºµ¿,"9,000",±ÝÈ£ÁÖÅÃ-ºñµ¿,1,0,21,51.885,354-7,11410,2
1988,2011,È«Àºµ¿,"9,000",(9-484),1,0,24,57.93,9-484,11410,2
2002,2011,È«Àºµ¿,"4,000",À¯¸²ÈÞ¸Õºô,1,25,24,45.76,410-12,11410,2
2003,2011,È«Àºµ¿,"15,000",¹é¼ÛÇÏÀÌÃ÷-´Ùµ¿,1,0,24,78.15,396-40,11410,2
2003,2011,È«Àºµ¿,"10,000",¸¸¹Îº£½ºÆ¼ºô(277-54),1,40,24,76.83,277-54,11410,4
2010,2011,È«Àºµ¿,"7,000",»ùÅÍºô,1,0,24,50.94,274-64,11410,5
1991,2011,È«Àºµ¿,"1,000","ÃÊ¿øºô¶ó(8-35 °¡,³ªµ¿)",1,0,27,40.95,8-35,11410,1
2002,2011,È«Àºµ¿,"2,000",(400-49),1,35,27,21.84,400-49,11410,2
1997,2011,È«Àºµ¿,"7,500",µµÈï,1,0,28,50.85,335-19,11410,1
1994,2011,È«Àºµ¿,"14,000",ÃµÁö¸Ç¼Ç,1,0,28,107.07,265-318,11410,3
1994,2011,È«Àºµ¿,"5,000",ÇÑ¾ç¾ÆÆ®ºô¶ó,1,0,28,43.32,265-227,11410,3
1991,2011,È«Àºµ¿,500,¿¹¿ø±×¸°,1,50,31,57.36,412-11,11410,2
2003,2011,È«Àºµ¿,"15,000",¹é¼ÛÇÏÀÌÃ÷-°¡µ¿,1,0,31,78.15,396-11,11410,2
2002,2011,È«Àºµ¿,"4,500",(409-9),1,0,31,47.96,409-9,11410,3
2008,2011,ºÏ°¡ÁÂµ¿,"10,000",LGºô¶ó(276-5),1,0,3,55.65,276-5,11410,3
2006,2011,ºÏ°¡ÁÂµ¿,"13,000",Á¤¿ìÇÏÀÌºô,1,0,3,77.7,380-17,11410,2
1991,2011,ºÏ°¡ÁÂµ¿,"4,000",Á¤¿ìÅ¸¿î,1,30,6,35,350-1,11410,
2006,2011,ºÏ°¡ÁÂµ¿,"7,500",LGÅ¸¿î(277-2),1,10,7,42.72,277-2,11410,4
1996,2011,ºÏ°¡ÁÂµ¿,"9,000",Ãæ¿ìÁÖÅÃ(5-119),1,0,8,56.43,5-119,11410,3
1997,2011,ºÏ°¡ÁÂµ¿,"6,000",µ¿½Âºô¶ó,1,20,8,36.54,347-25,11410,4
2004,2011,ºÏ°¡ÁÂµ¿,"8,500",¸Æ»êºô¶ó,1,0,8,42.41,329-15,11410,2
2003,2011,ºÏ°¡ÁÂµ¿,"11,000",Á¤¿øºô¶óDµ¿,1,0,8,55.42,5-188,11410,1
2002,2011,ºÏ°¡ÁÂµ¿,"12,500",±Íºó½¦¸£ºô,1,0,10,79.44,3-68,11410,2
2008,2011,ºÏ°¡ÁÂµ¿,"10,500",Çàº¹ÇÑÁý(3Â÷),1,0,10,43.76,3-119,11410,3
2005,2011,ºÏ°¡ÁÂµ¿,"12,000",»ï¼º½¦¸£ºô,1,0,10,57.95,329-31,11410,2
2002,2011,ºÏ°¡ÁÂµ¿,"4,000",ÇÑ¾çºô¶ó(348-18),1,40,11,51.6,348-18,11410,2
2004,2011,ºÏ°¡ÁÂµ¿,"9,500",PANHAUS,1,0,11,43.3,325-7,11410,2
2004,2011,ºÏ°¡ÁÂµ¿,"10,000",°æ¼ºÇÏÀÌºô(327-3),1,0,12,39.4,327-3,11410,4
1978,2011,ºÏ°¡ÁÂµ¿,"5,000",(5-204),1,0,12,45.79,5-204,11410,1
1991,2011,ºÏ°¡ÁÂµ¿,"10,000",¿µµ¿ºô¶ó,1,0,13,60.7,372-19,11410,2
2008,2011,ºÏ°¡ÁÂµ¿,"12,000",³ëºí·¹½ººô,1,0,13,54.96,5-69,11410,2
1986,2011,ºÏ°¡ÁÂµ¿,"9,500",¹®È­ºô¶óB,1,0,15,50.04,368-12,11410,1
2002,2011,ºÏ°¡ÁÂµ¿,"10,000",³ª¶ó¾ÆÆ®ºô,1,0,15,69.92,381-17,11410,1
2002,2011,ºÏ°¡ÁÂµ¿,"10,300",´º¿ùµåºô,1,0,17,59.96,74-214,11410,3
1997,2011,ºÏ°¡ÁÂµ¿,"3,500",(289-30),1,0,18,26.64,289-30,11410,3
1990,2011,ºÏ°¡ÁÂµ¿,"6,500",(5-43),1,0,18,39.12,5-43,11410,1
2007,2011,ºÏ°¡ÁÂµ¿,"11,500",¿µ±¤ºô¶ó,1,0,18,43.06,383-13,11410,2
2001,2011,ºÏ°¡ÁÂµ¿,"8,000",¼±Á¤±×·£µåºô(289-20),1,0,19,46.7,289-20,11410,1
2003,2011,ºÏ°¡ÁÂµ¿,"11,000",Ãæ¿ìÁÖÅÃ,1,0,19,41.77,75-156,11410,3
2006,2011,ºÏ°¡ÁÂµ¿,"10,000",¿¡ÀÌ½ººô(5-100),1,0,19,50.06,5-100,11410,4
1989,2011,ºÏ°¡ÁÂµ¿,"1,000",(350-4),1,32,19,42.5,350-4,11410,-1
2006,2011,ºÏ°¡ÁÂµ¿,"10,000",ÇÑ¾ç¾ÆÆ®ºô,1,0,22,43.96,347-20,11410,5
1983,2011,ºÏ°¡ÁÂµ¿,"5,000",ÀÓÃ¢ºô¶ó ³ªµ¿,1,45,22,102.4,330-6,11410,3
1997,2011,ºÏ°¡ÁÂµ¿,"12,000",±×¸°Èúºô¶óÆ®,1,0,23,75.15,3-161,11410,1
2002,2011,ºÏ°¡ÁÂµ¿,"9,500",¸íÁöº£½ºÆ®ºô,1,0,23,38.94,341-1,11410,4
2004,2011,ºÏ°¡ÁÂµ¿,"6,000",´ëÈ£ºô¶ó,1,10,24,38.57,2-9,11410,2
2006,2011,ºÏ°¡ÁÂµ¿,"9,200",½ÅÁ¤ºô¶ó(315-35),1,0,25,36.92,315-35,11410,2
1994,2011,ºÏ°¡ÁÂµ¿,"7,000",¿Á»êºô¶ó,1,0,25,46.14,5-18,11410,2
1993,2011,ºÏ°¡ÁÂµ¿,"8,000",¹Ì¼ººô¸®Áö,1,0,27,62.49,3-22,11410,3
1993,2011,ºÏ°¡ÁÂµ¿,"11,000",¿ì¼ºÇÏÀÌÃ÷ºô¶ó,1,0,28,67.21,344-1,11410,2
2003,2011,ºÏ°¡ÁÂµ¿,"13,500",Á¤¹æ¾ÆÆ®ºôºñµ¿,1,0,28,78.06,383-3,11410,1
2002,2011,ºÏ°¡ÁÂµ¿,"7,000",±¤ÃµÅ¸¿î,1,0,29,39.6,290-8,11410,2
1992,2011,ºÏ°¡ÁÂµ¿,"9,000",»õ·Î³ªºô¶ó,1,0,29,51.09,344-13,11410,1
1996,2011,ºÏ°¡ÁÂµ¿,"12,000",Ãæ¿ìÁÖÅÃ(5-119),1,0,29,61.99,5-119,11410,3
2002,2011,ºÏ°¡ÁÂµ¿,"10,000",Á¤¿øÇÏÀÌÃ÷ºô,1,0,29,101.31,5-132,11410,4
2002,2011,ºÏ°¡ÁÂµ¿,"6,000",(285-4),1,40,30,68.47,285-4,11410,3
1997,2011,³²°¡ÁÂµ¿,"5,000",(370-26),1,0,1,50.65,370-26,11410,1
2003,2011,³²°¡ÁÂµ¿,"5,000",°ÅÇ³1,1,0,8,21,5-231,11410,2
2002,2011,³²°¡ÁÂµ¿,"9,000",»ï¼º¾ÆÆ®ºô,1,0,8,59.69,367-6,11410,1
2002,2011,³²°¡ÁÂµ¿,"1,000",RENT HOUSE,1,30,11,17.64,340-14,11410,4
1987,2011,³²°¡ÁÂµ¿,"4,000",(190-38),1,0,29,34.73,190-38,11410,1
1995,2011,ÃæÁ¤·Î3°¡,"13,000",µ¿³²ÇÏÀÌÃ÷ºô¶ó,2,0,22,52.65,31-2,11410,3
2000,2011,Ãµ¿¬µ¿,"5,500",(120-11),2,0,12,30.8,120-11,11410,2
2008,2011,Ãµ¿¬µ¿,"15,000",»ï¼ºÆÓ¸®½º,2,0,23,54.66,80-13,11410,2
2000,2011,ºÏ¾ÆÇöµ¿,"8,000",ÆÄÀÎºô¶ó,2,0,4,28.2,123-82,11410,3
2007,2011,ºÏ¾ÆÇöµ¿,"9,500",µ¿Áø¾ÆÆ®ºô,2,0,7,37.96,1-287,11410,5
2004,2011,ºÏ¾ÆÇöµ¿,"4,000",(1-109),2,0,8,36,1-109,11410,
2002,2011,ºÏ¾ÆÇöµ¿,"5,000",¿¹¿ìºô¸®ÁöBµ¿,2,70,10,58.38,1-71,11410,3
2002,2011,ºÏ¾ÆÇöµ¿,"13,000",¿¹¿ìºô¸®ÁöBµ¿,2,20,12,58.38,1-71,11410,5
2002,2011,ºÏ¾ÆÇöµ¿,500,·Îµ©ºô,2,35,12,33.6,192-6,11410,3
1997,2011,ºÏ¾ÆÇöµ¿,"10,000",Á¤¿øºô¶ó1,2,0,13,59.26,1-62,11410,
1990,2011,ºÏ¾ÆÇöµ¿,"7,000",(123-47),2,0,14,32.43,123-47,11410,2
1995,2011,ºÏ¾ÆÇöµ¿,500,(45-3),2,41,14,20.67,45-3,11410,3
1998,2011,ºÏ¾ÆÇöµ¿,"12,000",(1-85),2,0,16,59.22,1-85,11410,2
2004,2011,ºÏ¾ÆÇöµ¿,"5,000",(1-292),2,40,17,43.37,1-292,11410,2
1992,2011,ºÏ¾ÆÇöµ¿,"11,000",ÆÄ·¹½ººô¶ó ³ª µ¿,2,0,18,50.36,1-343,11410,3
2007,2011,ºÏ¾ÆÇöµ¿,"6,000",»ó¿øºô-3,2,50,18,52.99,1-72,11410,2
2003,2011,ºÏ¾ÆÇöµ¿,"5,500",¹Ì°¡ºô,2,60,19,45.34,1-111,11410,3
1998,2011,ºÏ¾ÆÇöµ¿,"11,000",(1-85),2,0,19,59.22,1-85,11410,1
1994,2011,ºÏ¾ÆÇöµ¿,"11,000",ÆòÈ­ºô¶ó,2,0,24,58.44,1-270,11410,3
2002,2011,ºÏ¾ÆÇöµ¿,"6,000",(1-755),2,0,24,30.35,1-755,11410,
1991,2011,ºÏ¾ÆÇöµ¿,"2,000",À¶º¸ºô¶ó Bµ¿,2,60,24,65.88,1-747,11410,1
1994,2011,ºÏ¾ÆÇöµ¿,"22,000",(1-340),2,0,24,126.75,1-340,11410,3
1994,2011,ºÏ¾ÆÇöµ¿,"10,000",Ã»³ªºô¸®Áö,2,0,25,51.66,1-499,11410,
2007,2011,ºÏ¾ÆÇöµ¿,"20,000",ÇÑ¾çÈ¨Å¸¿î,2,0,25,73.31,1-496,11410,4
1975,2011,ºÏ¾ÆÇöµ¿,"4,000",(113-47),2,0,26,49.49,113-47,11410,1
1978,2011,ºÏ¾ÆÇöµ¿,"5,500",(113-14),2,0,26,48.76,113-14,11410,2
1993,2011,ºÏ¾ÆÇöµ¿,"8,000",(758-3),2,0,28,38.52,758-3,11410,
1991,2011,È«Á¦µ¿,"10,000",°üÈÄºô¶ó,2,0,1,65.05,339-3,11410,1
1986,2011,È«Á¦µ¿,"8,000",(267-143),2,0,9,41.48,267-143,11410,1
2011,2011,È«Á¦µ¿,"9,000",(156-385),2,0,9,29.72,156-385,11410,2
1993,2011,È«Á¦µ¿,"9,000",(90-21),2,0,10,57.28,90-21,11410,3
