건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2005,2011,신공덕동,"5,000",대우메트로디오빌,1,55,7,29.11,167,11440,28
2008,2011,신공덕동,"20,000",뉴마인,1,0,7,64.81,5-5,11440,7
2008,2011,신공덕동,"22,000",뉴마인,1,0,8,69.03,5-5,11440,3
2005,2011,신공덕동,"3,000",대우메트로디오빌,1,65,8,29.11,167,11440,19
2000,2011,신공덕동,"20,000",신공덕래미안2차,1,0,9,59.48,159,11440,14
2007,2011,신공덕동,"25,000",신공덕e편한세상,1,0,10,59.85,168,11440,10
2009,2011,신공덕동,"28,000",브라운스톤공덕,1,0,10,59.89,170,11440,12
2000,2011,신공덕동,"29,000",신공덕1차삼성래미안1아파트,1,0,10,84.9,155,11440,6
2000,2011,신공덕동,"21,000",신공덕1차삼성래미안1아파트,1,0,10,59.76,155,11440,7
2000,2011,신공덕동,"27,000",신공덕래미안2차,1,0,11,84.73,159,11440,12
2003,2011,신공덕동,"22,500",신공덕래미안3차,1,0,12,59.96,161,11440,9
2000,2011,신공덕동,"32,000",신공덕1차삼성래미안1아파트,1,0,12,114.75,155,11440,2
2003,2011,신공덕동,"29,000",신공덕래미안3차,1,0,14,84.69,161,11440,16
2000,2011,신공덕동,"28,000",신공덕1차삼성래미안1아파트,1,0,18,84.9,155,11440,9
2005,2011,신공덕동,"15,000",대우메트로디오빌,1,0,18,34.39,167,11440,25
2000,2011,신공덕동,"24,000",신공덕1차삼성래미안1아파트,1,0,19,59.76,155,11440,8
2005,2011,신공덕동,"17,000",대우메트로디오빌,1,0,21,34.39,167,11440,20
2009,2011,신공덕동,"29,000",브라운스톤공덕,1,0,22,59.89,170,11440,11
2000,2011,신공덕동,"23,500",신공덕래미안2차,1,0,22,84.73,159,11440,3
2007,2011,신공덕동,"11,000",신공덕e편한세상,1,60,22,59.58,168,11440,10
2005,2011,신공덕동,"7,000",대우메트로디오빌,1,0,23,34.39,167,11440,19
