건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
1999,2011,북아현동,"15,000",두산,1,0,24,59.96,1009,11410,1
1999,2011,북아현동,"18,000",두산,1,0,28,59.96,1009,11410,11
1999,2011,북아현동,"19,000",두산,1,0,29,59.96,1009,11410,13
1993,2011,홍제동,"16,000",홍제한양,1,0,2,60.06,82,11410,13
2000,2011,홍제동,528,홍제원현대(459-1),1,8,3,32.67,459-1,11410,1
1997,2011,홍제동,"18,000",청구2차,1,0,3,59.89,453-1,11410,8
2000,2011,홍제동,"2,646",홍제원현대(459-1),1,0,4,32.67,459-1,11410,3
1993,2011,홍제동,"23,000",홍제한양,1,0,4,84.77,82,11410,15
1996,2011,홍제동,"14,000",유원하나,1,0,4,72.34,454,11410,10
1994,2011,홍제동,"23,000",청구1차,1,0,5,84.78,453,11410,7
2005,2011,홍제동,"15,000",럭키힐,1,0,5,84.6,312-67,11410,7
1970,2011,홍제동,"1,500",원일,1,60,5,68.76,294-36,11410,3
1996,2011,홍제동,"19,000",유원하나,1,0,5,103.11,454,11410,8
1998,2011,홍제동,"12,000",태영으뜸(데시앙),1,0,5,46.99,373,11410,3
2005,2011,홍제동,"15,000",럭키힐,1,0,5,84.6,312-67,11410,7
2009,2011,홍제동,"30,000",인왕산한신휴플러스,1,0,5,125.256,469,11410,5
1998,2011,홍제동,"13,200",태영으뜸(데시앙),1,0,6,59.49,373,11410,10
1996,2011,홍제동,"10,000",현대그린,1,30,6,84.96,455,11410,9
2000,2011,홍제동,"3,000",인왕산현대,1,90,6,59.93,460,11410,8
1974,2011,홍제동,"7,000",인왕궁맨숀,1,0,7,54.02,104-6,11410,6
2000,2011,홍제동,"25,000",홍제원현대(459-0),1,0,8,84.9,459,11410,17
2002,2011,홍제동,"15,000",문화촌현대,1,0,8,59.94,463,11410,11
1972,2011,홍제동,"3,500",안산맨숀,1,27,8,72.73,104-20,11410,4
2001,2011,홍제동,"15,000",청구3차,1,0,8,59.4,462,11410,7
1998,2011,홍제동,"12,000",성원,1,0,8,41.5,456,11410,14
1994,2011,홍제동,"20,000",청구1차,1,0,8,84.78,453,11410,6
1999,2011,홍제동,"18,500",남양,1,0,8,83.07,457,11410,9
1993,2011,홍제동,"16,500",홍제한양,1,0,8,60.06,82,11410,10
1993,2011,홍제동,"22,000",홍제한양,1,0,8,84.77,82,11410,7
2002,2011,홍제동,"10,000",문화촌현대,1,30,8,59.94,463,11410,5
2002,2011,홍제동,"5,000",문화촌현대,1,100,9,84.99,463,11410,5
1993,2011,홍제동,"22,000",홍제한양,1,0,10,84.77,82,11410,8
2001,2011,홍제동,"18,500",청구3차,1,0,10,59.4,462,11410,8
2000,2011,홍제동,"23,500",홍제원현대(459-0),1,0,10,84.9,459,11410,14
1996,2011,홍제동,"14,000",유원하나,1,0,10,82.35,454,11410,15
2009,2011,홍제동,"30,000",인왕산한신휴플러스,1,0,10,125.256,469,11410,4
1992,2011,홍제동,"15,000",홍제현대,1,0,11,60.81,331,11410,1
2000,2011,홍제동,"19,000",조한,1,0,11,84.94,458,11410,12
2003,2011,홍제동,"18,000",인왕산벽산,1,0,11,84.63,465,11410,2
1998,2011,홍제동,"13,000",성원,1,0,11,55.35,456,11410,4
1996,2011,홍제동,"16,000",유원하나,1,0,13,82.35,454,11410,17
2003,2011,홍제동,"24,000",인왕산벽산,1,0,14,116.28,465,11410,3
2001,2011,홍제동,"29,000",홍제삼성래미안,1,0,14,114.75,461,11410,5
2000,2011,홍제동,"20,000",홍제원현대(459-0),1,0,15,59.93,459,11410,14
2001,2011,홍제동,"11,000",홍제삼성래미안,1,0,15,32.76,461,11410,1
2000,2011,홍제동,"19,000",홍제원현대(459-0),1,0,15,59.93,459,11410,13
1994,2011,홍제동,"22,000",청구1차,1,0,15,84.78,453,11410,9
2001,2011,홍제동,"26,000",홍제삼성래미안,1,0,16,84.33,461,11410,11
2001,2011,홍제동,"26,000",홍제삼성래미안,1,0,17,84.33,461,11410,3
1996,2011,홍제동,"14,000",유원하나,1,0,17,58.77,454,11410,4
1996,2011,홍제동,"15,000",유원하나,1,0,17,82.35,454,11410,10
2001,2011,홍제동,"30,000",홍제삼성래미안,1,0,17,114.75,461,11410,9
2000,2011,홍제동,"2,428",홍제원현대(459-1),1,0,18,32.67,459-1,11410,16
1998,2011,홍제동,"14,000",성원,1,0,18,55.35,456,11410,9
2002,2011,홍제동,"16,000",문화촌현대,1,0,18,59.94,463,11410,9
2000,2011,홍제동,"23,000",홍제원현대(459-0),1,0,19,84.9,459,11410,4
1993,2011,홍제동,"15,000",홍제한양,1,0,19,60.06,82,11410,1
1992,2011,홍제동,"19,000",홍제현대,1,0,20,75.15,331,11410,5
1994,2011,홍제동,"13,000",청구1차,1,80,20,84.78,453,11410,13
1992,2011,홍제동,"19,000",홍제현대,1,0,20,75.15,331,11410,2
2000,2011,홍제동,"25,000",인왕산현대,1,0,20,84.9,460,11410,7
1994,2011,홍제동,"21,000",청구1차,1,0,21,84.78,453,11410,12
2000,2011,홍제동,"2,428",홍제원현대(459-1),1,0,21,32.67,459-1,11410,8
1993,2011,홍제동,"17,000",홍제한양,1,0,22,60.06,82,11410,3
1993,2011,홍제동,"16,000",홍제한양,1,0,22,60.06,82,11410,2
2000,2011,홍제동,"30,000",인왕산현대,1,0,22,114.72,460,11410,6
1996,2011,홍제동,"5,000",유원하나,1,100,22,112.14,454,11410,6
1993,2011,홍제동,"16,500",홍제한양,1,0,22,60.06,82,11410,10
2000,2011,홍제동,"20,000",인왕산현대,1,0,22,59.93,460,11410,17
2000,2011,홍제동,"16,000",인왕산현대,1,10,22,59.93,460,11410,17
2002,2011,홍제동,"15,000",문화촌현대,1,0,23,59.94,463,11410,17
2001,2011,홍제동,"13,500",중앙하이츠,1,0,24,59.23,342,11410,11
1994,2011,홍제동,"20,500",청구1차,1,0,24,84.78,453,11410,12
2001,2011,홍제동,"22,000",청구3차,1,0,24,84.96,462,11410,5
1998,2011,홍제동,"13,000",태영으뜸(데시앙),1,0,24,44.2,373,11410,5
1992,2011,홍제동,"22,000",홍제현대,1,0,26,106.18,331,11410,10
2001,2011,홍제동,"15,000",홍제삼성래미안,1,45,27,84.33,461,11410,7
2000,2011,홍제동,"19,000",인왕산현대,1,0,28,59.93,460,11410,2
2000,2011,홍제동,"21,000",홍제원현대(459-0),1,0,29,59.93,459,11410,15
2001,2011,홍제동,"32,000",홍제삼성래미안,1,0,29,114.75,461,11410,6
1994,2011,홍제동,"22,000",청구1차,1,0,29,84.78,453,11410,1
2001,2011,홍제동,"18,000",청구3차,1,0,30,59.4,462,11410,5
1993,2011,홍제동,"27,000",홍제한양,1,0,31,120.14,82,11410,8
1994,2011,홍제동,"21,000",청구1차,1,0,31,84.78,453,11410,5
