건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
1988,2011,불광동,"14,500",라이프미성,1,0,29,66.7,248,11380,1
1988,2011,불광동,"15,000",라이프미성,1,0,29,66.7,248,11380,14
2010,2011,불광동,"27,000",북한산래미안아파트(1단지),1,0,31,84.99,638,11380,5
1988,2011,불광동,"16,000",라이프미성,1,0,31,66.7,248,11380,6
1997,2011,갈현동,"16,500",갈현동현대,1,0,6,84.87,537,11380,5
2003,2011,갈현동,"11,500",지캐슬,1,0,7,64.64,487-2,11380,4
1997,2011,갈현동,"13,000",갈현동현대,1,0,7,59.25,537,11380,15
1997,2011,갈현동,"22,000",미미,1,0,7,124.65,538,11380,1
1997,2011,갈현동,"17,000",갈현동현대,1,0,10,88.47,537,11380,2
2004,2011,갈현동,"29,000",동광갈현베르빌,1,0,11,134.715,465-12,11380,12
1998,2011,갈현동,"10,000",우남,1,0,12,59.92,540,11380,15
1997,2011,갈현동,"7,000",한솔,1,5,13,39.96,539,11380,9
2001,2011,갈현동,"9,500",대양,1,0,15,68.4,281-208,11380,2
2003,2011,갈현동,"10,000",코오롱하늘채,1,120,19,123.2858,545,11380,11
2003,2011,갈현동,"17,000",코오롱하늘채,1,0,19,84.9462,545,11380,7
2001,2011,갈현동,"15,000",갈현건영,1,0,20,84.38,541-1,11380,15
2004,2011,갈현동,"10,000",동광갈현베르빌,1,100,20,134.715,465-12,11380,4
2007,2011,갈현동,"19,000",반도하우드,1,0,22,84.56,258-1,11380,2
1997,2011,갈현동,"20,000",갈현동현대,1,0,23,84.87,537,11380,10
2001,2011,갈현동,"13,000",갈현건영,1,0,24,84.38,541-1,11380,10
2004,2011,갈현동,"25,000",동광갈현베르빌,1,0,26,84.997,465-12,11380,7
1998,2011,갈현동,"20,000",우남,1,0,28,133.02,540,11380,5
2003,2011,갈현동,"19,000",코오롱하늘채,1,0,29,84.9462,545,11380,16
2004,2011,구산동,"15,500",경남아너스빌,1,0,4,84.99,224,11380,12
2004,2011,구산동,"19,000",갈현1단지e-편한세상,1,0,4,84.618,547,11380,16
2005,2011,구산동,"14,000",금강포란재(101),1,0,6,84.18,355-82,11380,2
